ZoneId,TimestampUtc,Timestamp,TimeZoneId,Capacity,Vehicles,Violations,ViolationsEnforced
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:41:00.000,2024-03-26 15:41:00.000,Pacific Standard Time,216,138,76,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:41:00.000,2024-03-26 15:41:00.000,Pacific Standard Time,1100,822,55,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:41:00.000,2024-03-26 15:41:00.000,Pacific Standard Time,1232,634,60,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:41:00.000,2024-03-26 15:41:00.000,Pacific Standard Time,990,485,121,64
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:41:00.000,2024-03-26 15:41:00.000,Pacific Standard Time,1189,719,73,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:41:00.000,2024-03-26 15:41:00.000,Pacific Standard Time,807,484,66,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:41:00.000,2024-03-26 15:41:00.000,Pacific Standard Time,687,422,73,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:40:00.000,2024-03-26 15:40:00.000,Pacific Standard Time,216,138,75,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:40:00.000,2024-03-26 15:40:00.000,Pacific Standard Time,1100,831,56,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:40:00.000,2024-03-26 15:40:00.000,Pacific Standard Time,1232,641,60,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:40:00.000,2024-03-26 15:40:00.000,Pacific Standard Time,990,487,121,64
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:40:00.000,2024-03-26 15:40:00.000,Pacific Standard Time,1189,723,73,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:40:00.000,2024-03-26 15:40:00.000,Pacific Standard Time,807,488,68,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:40:00.000,2024-03-26 15:40:00.000,Pacific Standard Time,687,422,72,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:39:00.000,2024-03-26 15:39:00.000,Pacific Standard Time,216,138,74,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:39:00.000,2024-03-26 15:39:00.000,Pacific Standard Time,1100,833,56,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:39:00.000,2024-03-26 15:39:00.000,Pacific Standard Time,1232,644,60,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:39:00.000,2024-03-26 15:39:00.000,Pacific Standard Time,990,491,121,64
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:39:00.000,2024-03-26 15:39:00.000,Pacific Standard Time,1189,726,73,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:39:00.000,2024-03-26 15:39:00.000,Pacific Standard Time,807,490,68,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:39:00.000,2024-03-26 15:39:00.000,Pacific Standard Time,687,425,72,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:38:00.000,2024-03-26 15:38:00.000,Pacific Standard Time,216,139,74,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:38:00.000,2024-03-26 15:38:00.000,Pacific Standard Time,1100,834,56,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:38:00.000,2024-03-26 15:38:00.000,Pacific Standard Time,1232,650,60,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:38:00.000,2024-03-26 15:38:00.000,Pacific Standard Time,990,496,121,64
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:38:00.000,2024-03-26 15:38:00.000,Pacific Standard Time,1189,727,73,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:38:00.000,2024-03-26 15:38:00.000,Pacific Standard Time,807,494,68,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:38:00.000,2024-03-26 15:38:00.000,Pacific Standard Time,687,427,71,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:37:00.000,2024-03-26 15:37:00.000,Pacific Standard Time,216,135,73,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:37:00.000,2024-03-26 15:37:00.000,Pacific Standard Time,1100,840,56,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:37:00.000,2024-03-26 15:37:00.000,Pacific Standard Time,1232,658,59,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:37:00.000,2024-03-26 15:37:00.000,Pacific Standard Time,990,501,121,64
859835AD-E855-4DBF-83ED-419DEF40537C,2024-03-26 22:37:00.000,2024-03-26 15:37:00.000,Pacific Standard Time,1189,732,74,26
33B31206-E1F8-44CE-87A5-318C6D198416,2024-03-26 22:37:00.000,2024-03-26 15:37:00.000,Pacific Standard Time,807,493,68,13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4,2024-03-26 22:37:00.000,2024-03-26 15:37:00.000,Pacific Standard Time,687,432,71,3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E,2024-03-26 22:36:00.000,2024-03-26 15:36:00.000,Pacific Standard Time,216,133,73,0
7A5B3916-AD6C-445E-A6C5-BC582EB20530,2024-03-26 22:36:00.000,2024-03-26 15:36:00.000,Pacific Standard Time,1100,852,56,4
E10D7DB4-C792-42AC-BAE8-969FA63F198D,2024-03-26 22:36:00.000,2024-03-26 15:36:00.000,Pacific Standard Time,1232,665,60,13
ACF9CF85-6991-42B9-9467-6094008D1094,2024-03-26 22:36:00.000,2024-03-26 15:36:00.000,Pacific Standard Time,990,502,120,65
