ZoneId	TimestampUtc	Timestamp	TimeZoneId	Capacity	Vehicles	Violations	ViolationsEnforced
7A5B3916-AD6C-445E-A6C5-BC582EB20530	22:00.0	22:00.0	Pacific Standard Time	1100	880	55	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	22:00.0	22:00.0	Pacific Standard Time	1232	743	60	15
ACF9CF85-6991-42B9-9467-6094008D1094	22:00.0	22:00.0	Pacific Standard Time	990	542	117	65
859835AD-E855-4DBF-83ED-419DEF40537C	22:00.0	22:00.0	Pacific Standard Time	1189	773	79	26
33B31206-E1F8-44CE-87A5-318C6D198416	22:00.0	22:00.0	Pacific Standard Time	807	538	75	13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	22:00.0	22:00.0	Pacific Standard Time	687	453	75	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	21:00.0	21:00.0	Pacific Standard Time	216	134	73	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	21:00.0	21:00.0	Pacific Standard Time	1100	882	55	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	21:00.0	21:00.0	Pacific Standard Time	1232	744	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	21:00.0	21:00.0	Pacific Standard Time	990	541	117	65
859835AD-E855-4DBF-83ED-419DEF40537C	21:00.0	21:00.0	Pacific Standard Time	1189	775	80	26
33B31206-E1F8-44CE-87A5-318C6D198416	21:00.0	21:00.0	Pacific Standard Time	807	537	75	13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	21:00.0	21:00.0	Pacific Standard Time	687	454	75	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	20:00.0	20:00.0	Pacific Standard Time	216	134	73	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	20:00.0	20:00.0	Pacific Standard Time	1100	885	56	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	20:00.0	20:00.0	Pacific Standard Time	1232	743	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	20:00.0	20:00.0	Pacific Standard Time	990	542	117	65
859835AD-E855-4DBF-83ED-419DEF40537C	20:00.0	20:00.0	Pacific Standard Time	1189	777	81	26
33B31206-E1F8-44CE-87A5-318C6D198416	20:00.0	20:00.0	Pacific Standard Time	807	538	75	13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	20:00.0	20:00.0	Pacific Standard Time	687	455	76	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	19:00.0	19:00.0	Pacific Standard Time	216	133	72	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	19:00.0	19:00.0	Pacific Standard Time	1100	888	56	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	19:00.0	19:00.0	Pacific Standard Time	1232	742	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	19:00.0	19:00.0	Pacific Standard Time	990	544	117	65
859835AD-E855-4DBF-83ED-419DEF40537C	19:00.0	19:00.0	Pacific Standard Time	1189	779	81	26
33B31206-E1F8-44CE-87A5-318C6D198416	19:00.0	19:00.0	Pacific Standard Time	807	537	76	13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	19:00.0	19:00.0	Pacific Standard Time	687	456	76	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	18:00.0	18:00.0	Pacific Standard Time	216	134	72	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	18:00.0	18:00.0	Pacific Standard Time	1100	890	57	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	18:00.0	18:00.0	Pacific Standard Time	1232	743	60	15
ACF9CF85-6991-42B9-9467-6094008D1094	18:00.0	18:00.0	Pacific Standard Time	990	541	117	65
859835AD-E855-4DBF-83ED-419DEF40537C	18:00.0	18:00.0	Pacific Standard Time	1189	782	81	26
33B31206-E1F8-44CE-87A5-318C6D198416	18:00.0	18:00.0	Pacific Standard Time	807	539	75	13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	18:00.0	18:00.0	Pacific Standard Time	687	457	76	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	17:00.0	17:00.0	Pacific Standard Time	216	135	73	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	17:00.0	17:00.0	Pacific Standard Time	1100	893	57	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	17:00.0	17:00.0	Pacific Standard Time	1232	746	60	15
ACF9CF85-6991-42B9-9467-6094008D1094	17:00.0	17:00.0	Pacific Standard Time	990	543	117	65
859835AD-E855-4DBF-83ED-419DEF40537C	17:00.0	17:00.0	Pacific Standard Time	1189	785	81	26
33B31206-E1F8-44CE-87A5-318C6D198416	17:00.0	17:00.0	Pacific Standard Time	807	540	75	13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	17:00.0	17:00.0	Pacific Standard Time	687	457	77	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	16:00.0	16:00.0	Pacific Standard Time	216	134	73	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	16:00.0	16:00.0	Pacific Standard Time	1100	894	58	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	16:00.0	16:00.0	Pacific Standard Time	1232	747	59	15
ACF9CF85-6991-42B9-9467-6094008D1094	16:00.0	16:00.0	Pacific Standard Time	990	544	117	65
859835AD-E855-4DBF-83ED-419DEF40537C	16:00.0	16:00.0	Pacific Standard Time	1189	786	81	26
33B31206-E1F8-44CE-87A5-318C6D198416	16:00.0	16:00.0	Pacific Standard Time	807	541	75	13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	16:00.0	16:00.0	Pacific Standard Time	687	458	77	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	15:00.0	15:00.0	Pacific Standard Time	216	132	73	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	15:00.0	15:00.0	Pacific Standard Time	1100	894	59	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	15:00.0	15:00.0	Pacific Standard Time	1232	751	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	15:00.0	15:00.0	Pacific Standard Time	990	545	116	65
859835AD-E855-4DBF-83ED-419DEF40537C	15:00.0	15:00.0	Pacific Standard Time	1189	791	79	26
33B31206-E1F8-44CE-87A5-318C6D198416	15:00.0	15:00.0	Pacific Standard Time	807	541	75	13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	15:00.0	15:00.0	Pacific Standard Time	687	457	77	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	14:00.0	14:00.0	Pacific Standard Time	216	134	73	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	14:00.0	14:00.0	Pacific Standard Time	1100	891	59	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	14:00.0	14:00.0	Pacific Standard Time	1232	754	60	15
ACF9CF85-6991-42B9-9467-6094008D1094	14:00.0	14:00.0	Pacific Standard Time	990	547	114	65
859835AD-E855-4DBF-83ED-419DEF40537C	14:00.0	14:00.0	Pacific Standard Time	1189	795	79	26
33B31206-E1F8-44CE-87A5-318C6D198416	14:00.0	14:00.0	Pacific Standard Time	807	542	75	13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	14:00.0	14:00.0	Pacific Standard Time	687	456	78	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	13:00.0	13:00.0	Pacific Standard Time	216	134	73	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	13:00.0	13:00.0	Pacific Standard Time	1100	893	60	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	13:00.0	13:00.0	Pacific Standard Time	1232	756	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	13:00.0	13:00.0	Pacific Standard Time	990	548	113	65
859835AD-E855-4DBF-83ED-419DEF40537C	13:00.0	13:00.0	Pacific Standard Time	1189	797	78	26
33B31206-E1F8-44CE-87A5-318C6D198416	13:00.0	13:00.0	Pacific Standard Time	807	544	76	13
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	13:00.0	13:00.0	Pacific Standard Time	687	459	78	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	12:00.0	12:00.0	Pacific Standard Time	216	134	73	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	12:00.0	12:00.0	Pacific Standard Time	1100	893	60	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	12:00.0	12:00.0	Pacific Standard Time	1232	758	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	12:00.0	12:00.0	Pacific Standard Time	990	548	112	65
859835AD-E855-4DBF-83ED-419DEF40537C	12:00.0	12:00.0	Pacific Standard Time	1189	799	77	26
33B31206-E1F8-44CE-87A5-318C6D198416	12:00.0	12:00.0	Pacific Standard Time	807	542	76	14
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	12:00.0	12:00.0	Pacific Standard Time	687	460	78	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	11:00.0	11:00.0	Pacific Standard Time	216	134	73	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	11:00.0	11:00.0	Pacific Standard Time	1100	895	60	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	11:00.0	11:00.0	Pacific Standard Time	1232	762	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	11:00.0	11:00.0	Pacific Standard Time	990	551	111	65
859835AD-E855-4DBF-83ED-419DEF40537C	11:00.0	11:00.0	Pacific Standard Time	1189	808	77	26
33B31206-E1F8-44CE-87A5-318C6D198416	11:00.0	11:00.0	Pacific Standard Time	807	547	76	14
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	11:00.0	11:00.0	Pacific Standard Time	687	462	78	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	10:00.0	10:00.0	Pacific Standard Time	216	134	73	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	10:00.0	10:00.0	Pacific Standard Time	1100	895	60	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	10:00.0	10:00.0	Pacific Standard Time	1232	762	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	10:00.0	10:00.0	Pacific Standard Time	990	551	111	65
859835AD-E855-4DBF-83ED-419DEF40537C	10:00.0	10:00.0	Pacific Standard Time	1189	808	77	26
33B31206-E1F8-44CE-87A5-318C6D198416	10:00.0	10:00.0	Pacific Standard Time	807	547	76	15
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	10:00.0	10:00.0	Pacific Standard Time	687	462	78	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	09:00.0	09:00.0	Pacific Standard Time	216	134	72	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	09:00.0	09:00.0	Pacific Standard Time	1100	895	60	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	09:00.0	09:00.0	Pacific Standard Time	1232	762	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	09:00.0	09:00.0	Pacific Standard Time	990	551	111	65
859835AD-E855-4DBF-83ED-419DEF40537C	09:00.0	09:00.0	Pacific Standard Time	1189	808	77	26
33B31206-E1F8-44CE-87A5-318C6D198416	09:00.0	09:00.0	Pacific Standard Time	807	547	77	15
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	09:00.0	09:00.0	Pacific Standard Time	687	462	78	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	08:00.0	08:00.0	Pacific Standard Time	216	134	71	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	08:00.0	08:00.0	Pacific Standard Time	1100	898	59	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	08:00.0	08:00.0	Pacific Standard Time	1232	761	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	08:00.0	08:00.0	Pacific Standard Time	990	550	111	65
859835AD-E855-4DBF-83ED-419DEF40537C	08:00.0	08:00.0	Pacific Standard Time	1189	811	77	26
33B31206-E1F8-44CE-87A5-318C6D198416	08:00.0	08:00.0	Pacific Standard Time	807	543	76	15
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	08:00.0	08:00.0	Pacific Standard Time	687	462	78	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	07:00.0	07:00.0	Pacific Standard Time	216	136	72	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	07:00.0	07:00.0	Pacific Standard Time	1100	900	59	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	07:00.0	07:00.0	Pacific Standard Time	1232	761	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	07:00.0	07:00.0	Pacific Standard Time	990	557	110	65
859835AD-E855-4DBF-83ED-419DEF40537C	07:00.0	07:00.0	Pacific Standard Time	1189	814	77	26
33B31206-E1F8-44CE-87A5-318C6D198416	07:00.0	07:00.0	Pacific Standard Time	807	543	76	15
3B3F3EC1-5D84-4C80-9CAD-2CCC9A9268A4	07:00.0	07:00.0	Pacific Standard Time	687	463	78	3
1B3D7D69-A1D0-4B8B-B86A-D31F8CFF2B2E	06:00.0	06:00.0	Pacific Standard Time	216	136	72	0
7A5B3916-AD6C-445E-A6C5-BC582EB20530	06:00.0	06:00.0	Pacific Standard Time	1100	902	59	4
E10D7DB4-C792-42AC-BAE8-969FA63F198D	06:00.0	06:00.0	Pacific Standard Time	1232	762	61	15
ACF9CF85-6991-42B9-9467-6094008D1094	06:00.0	06:00.0	Pacific Standard Time	990	561	111	65
