stall_name,stall_id,payload_timestamp,status,unix_timestamp
EMR-17,4707,2024-06-14 06:16:39,vacant,1718370999
EMR-18,4708,2024-06-14 07:09:26,vacant,1718374166
EMR-19,4709,2024-06-14 07:11:51,vacant,1718374311
EMR-20,4710,2024-06-14 07:14:33,vacant,1718374473
EMR-21,4711,2024-06-14 07:14:44,vacant,1718374484
EMR-22,4712,2024-06-14 07:13:52,vacant,1718374432
EMR-23,4713,2024-06-14 07:14:16,vacant,1718374456
EMR-24,4714,2024-06-14 07:12:15,vacant,1718374335
EMR-25,4715,2024-06-14 07:14:30,vacant,1718374470
EMR-26,4716,2024-06-14 07:16:39,vacant,1718374599
EMR-27,4717,2024-06-14 07:17:31,vacant,1718374651
EMR-28,4718,2024-06-14 07:20:11,vacant,1718374811
EMR-29,4719,2024-06-14 07:21:19,vacant,1718374879
EMR-30,4720,2024-06-14 07:22:48,vacant,1718374968
EMR-31,4721,2024-06-14 07:28:14,vacant,1718375294
EMR-33,4723,2024-06-14 07:20:29,vacant,1718374829
EMR-34,4724,2024-06-14 07:32:52,vacant,1718375572
EMR-35,4725,2024-06-14 07:29:31,vacant,1718375371
EMR-36,4726,2024-06-14 07:46:58,vacant,1718376418
EMR-37,4727,2024-06-14 07:49:37,vacant,1718376577
EMR-38,4728,2024-06-14 07:51:45,vacant,1718376705
EMR-39,4729,2024-06-14 07:52:40,vacant,1718376760
EMR-40,4730,2024-06-14 07:57:00,vacant,1718377020
EMR-41,4731,2024-06-14 06:58:19,vacant,1718373499
EMR-42,4732,2024-06-14 07:55:23,vacant,1718376923
EMR-43,4733,2024-06-14 06:58:04,vacant,1718373484
EMR-44,4734,2024-06-14 07:01:39,vacant,1718373699
EMR-45,4735,2024-06-14 07:06:15,vacant,1718373975
EMR-46,4736,2024-06-14 07:53:08,vacant,1718376788
EMR-47,4737,2024-06-14 07:18:09,vacant,1718374689
EMR-48,4738,2024-06-14 07:05:25,vacant,1718373925
EMR-49,4739,2024-06-14 07:16:26,vacant,1718374586
EMR-50,4740,2024-06-14 07:22:36,vacant,1718374956
EMR-51,4741,2024-06-14 07:25:11,vacant,1718375111
EMR-52,4742,2024-06-14 07:28:22,vacant,1718375302
EMR-53,4743,2024-06-14 07:36:14,vacant,1718375774
EMR-54,4744,2024-06-14 07:37:02,vacant,1718375822
EMR-55,4745,2024-06-14 07:41:27,vacant,1718376087
EMR-56,4746,2024-06-14 07:45:28,vacant,1718376328
EMR-57,4747,2024-06-14 07:51:49,vacant,1718376709
EMR-58,4748,2024-06-14 07:48:31,vacant,1718376511
EMR-59,4749,2024-06-14 07:49:12,vacant,1718376552
EMR-60,4750,2024-06-14 06:59:25,vacant,1718373565
EMR-61,4751,2024-06-14 07:06:34,vacant,1718373994
EMR-62,4752,2024-06-14 07:08:05,vacant,1718374085
EMR-63,4753,2024-06-14 07:44:00,vacant,1718376240
EMR-64,4754,2024-06-14 07:49:57,vacant,1718376597
EMR-65,4755,2024-06-14 07:44:57,vacant,1718376297
EMR-66,4756,2024-06-14 07:00:40,vacant,1718373640
EMR-67,4757,2024-06-14 07:52:30,vacant,1718376750
EMR-68,4758,2024-06-14 07:00:30,vacant,1718373630
EMR-69,4759,2024-06-14 07:05:06,vacant,1718373906
EMR-70,4760,2024-06-14 07:02:20,vacant,1718373740
EMR-71,4761,2024-06-14 07:05:42,vacant,1718373942
EMR-72,4762,2024-06-14 07:07:32,vacant,1718374052
EMR-073,4812,2024-06-14 07:26:06,vacant,1718375166
EMR-074,4813,2024-06-14 07:30:54,vacant,1718375454
EMR-075,4814,2024-06-14 07:34:15,vacant,1718375655
EMR-076,4815,2024-06-14 07:35:42,vacant,1718375742
EMR-077,4816,2024-06-14 07:38:24,vacant,1718375904
EMR-078,4817,2024-06-14 07:32:50,vacant,1718375570
EMR-080,4819,2024-06-14 07:42:09,vacant,1718376129
EMR-081,4820,2024-06-14 07:46:26,vacant,1718376386
EMR-082,4821,2024-06-14 07:42:33,vacant,1718376153
EMR-083,4822,2024-06-14 07:47:55,vacant,1718376475
EMR-084,4823,2024-06-14 07:52:02,vacant,1718376722
EMR-085,4824,2024-06-14 07:51:49,vacant,1718376709
EMR-086,4825,2024-06-14 07:50:57,vacant,1718376657
EMR-087,4826,2024-06-14 07:52:56,vacant,1718376776
EMR-088,4827,2024-06-14 07:52:58,vacant,1718376778
EMR-089,4828,2024-06-14 07:56:13,vacant,1718376973
EMR-090,4829,2024-06-14 06:57:30,vacant,1718373450
EMR-091,4830,2024-06-14 07:06:08,vacant,1718373968
EMR-092,4831,2024-06-14 07:04:44,vacant,1718373884
LMR-01,4889,2024-06-14 07:56:42,vacant,1718377002
LMR-02,4890,2024-06-14 06:59:28,vacant,1718373568
LMR-03,4891,2024-06-14 07:05:42,vacant,1718373942
WMR-01,4892,2024-06-14 07:26:01,vacant,1718375161
WMR-02,4893,2024-06-14 07:51:11,occupied,1718376671
WMR-03,4894,2024-06-14 07:46:27,occupied,1718376387
WMR-04,4895,2024-06-14 07:13:24,vacant,1718374404
Law-3,4897,2024-06-14 07:18:40,vacant,1718374720
Law-4,4898,2024-06-14 07:18:36,vacant,1718374716
