date,level_0,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd
2023-02-05 03:00:00,0,1.6188147441226506,,1.0122459984165435,3.80872071279856,68.97955826932103,4.841348821904907,
2023-02-05 04:00:00,1,2.627528748441951,24.778238735548165,3.082210976776896,0.0,70.72170767511444,2.0142438368100883,
2023-02-05 05:00:00,2,1.819282321486268,28.18624676219053,2.1272535614890984,0.0,73.9884899065767,1.5729899279103634,
2023-02-05 06:00:00,3,2.522001567399827,28.71575998693492,1.7650140887269914,0.0,74.59965236705143,3.1044228699801044,
2023-02-05 07:00:00,4,9.83863726686554,31.546588084306457,1.2905167784867593,28.57484929269821,73.694960505146,2.893017385506185,
2023-02-05 08:00:00,5,7.056550239822048,37.95108732380004,3.0148588434592662,63.15129889010364,70.29490223380766,44.969377289570325,
2023-02-05 09:00:00,6,28.226832779980224,53.09703892785264,5.5951918433173615,91.73865827841064,75.64847549731716,91.63732903011449,
2023-02-05 10:00:00,7,37.12739288791006,68.36127232621541,15.168689602928598,93.87236576293223,84.57011036214924,125.34425356466647,
2023-02-05 11:00:00,8,56.9071183544719,75.68170068762633,18.595003916033026,88.68050338420278,78.95382570830868,115.12010848985216,
2023-02-05 12:00:00,9,51.282142777796366,75.11225684951673,23.913933817746365,74.81549171471168,91.44358403253916,138.9771019281313,
2023-02-05 13:00:00,10,42.0164477647394,69.79222766545023,22.32976267743447,77.33578214179805,94.76065740538918,101.4083616635482,
2023-02-05 14:00:00,11,47.99571463393584,78.86164782751928,30.141159735356617,81.15287496418654,88.55796396027979,135.47689368513522,
2023-02-05 15:00:00,12,56.087803636119865,92.0445726324048,40.35612005562089,93.63349428071828,96.43302922801692,117.78395338316028,
2023-02-05 16:00:00,13,54.70811851387159,54.86173407431699,52.22307830646309,71.31218216824416,96.1434915438646,110.03221013824576,
2023-02-05 17:00:00,14,45.52739217873544,55.45745148627298,53.38108863832551,61.6113461264091,85.81325631264203,86.7707779429812,
2023-02-05 18:00:00,15,23.373050276702152,40.91472415465125,53.60626773573195,53.95920926702648,85.92718303141775,61.76221836713752,
2023-02-05 19:00:00,16,20.240895431792136,34.51022307425274,36.02866376510595,50.2018514391149,83.94565390104434,74.64026005018748,
2023-02-05 20:00:00,17,8.712033605821501,27.83055703433191,17.679204569785636,39.95615296576904,84.09003949793636,64.13385056717556,
2023-02-05 21:00:00,18,10.452556569124605,29.85809539970498,16.70036729002983,26.87658342561597,84.70410024384081,49.16905023101498,
2023-02-05 22:00:00,19,1.19140724106837,25.44347530856272,14.37110282719745,21.6876791746308,77.61595193481322,34.26691583775445,
2023-02-05 23:00:00,20,1.4918297345709512,25.196157912786266,5.19809699421092,18.438532423457765,72.33905133081818,27.575586857502223,
2023-02-06 00:00:00,21,1.580132450568611,29.256014747051783,2.7333658599295765,4.012172697653585,78.23221002476829,11.683877090524028,
2023-02-06 01:00:00,22,3.018969072655901,34.48416862083429,1.274225177237857,4.043458924898276,79.02016105441432,7.52945990958942,
2023-02-06 02:00:00,23,4.3391943317576125,42.31282050085381,6.052613506121126,3.944530159420043,89.30793744413383,7.0971182209873644,
2023-02-06 03:00:00,24,0.0,6.552060577035931,0.142178320271727,3.9226693355184015,90.76314214021204,2.1641156404683874,
2023-02-06 04:00:00,25,0.4375372114344003,3.9913028036242273,0.2091885760708752,0.0,0.0,1.501107546314963,
2023-02-06 05:00:00,26,0.8234284358873272,8.816495117059903,0.5766191390177777,0.8197736530649388,0.0,1.46740733467193,
2023-02-06 06:00:00,27,12.723311351348976,19.28727438899661,0.908439355510852,17.08697039216396,1.4863499591099694,11.204117996347811,
2023-02-06 07:00:00,28,56.84463377905357,87.02178890915249,7.174684906792892,105.9237949640286,8.573624601304989,67.89119791605827,
2023-02-06 08:00:00,29,135.2259317692753,207.6677500781857,38.83927088540874,292.1154785294329,63.110371506931806,268.9896073790536,
2023-02-06 09:00:00,30,224.12772566914845,332.65890784073986,121.60712571597313,432.3847001924936,166.14094329778592,410.030489132011,
2023-02-06 10:00:00,31,323.0239377682225,454.9281829177032,163.69703229111894,642.4483616422801,271.50024246067966,622.3456948819194,
2023-02-06 11:00:00,32,446.7640515850856,654.1973779979265,303.9041784327454,739.8627183088101,266.15516553839007,698.3178411222568,
2023-02-06 12:00:00,33,479.29304532611536,645.7990408803505,345.9600676448445,751.0618439967445,281.93157702919143,832.1486269216808,
2023-02-06 13:00:00,34,499.8548909465586,677.1492954966444,535.7598538878261,748.3925154745376,431.24108695483,890.7507589841915,
2023-02-06 14:00:00,35,568.5440713016707,756.8306967495279,501.4045084784436,749.8618004130803,434.6293716399334,970.0085586754516,
2023-02-06 15:00:00,36,436.1581220084069,620.3246409565209,521.1936787165399,727.9630385928274,425.0543555526232,947.6515750568752,
2023-02-06 16:00:00,37,359.4345552732911,466.3016719464954,402.2884525552773,596.7234846663355,354.67581426372044,815.3734162667575,
2023-02-06 17:00:00,38,187.97322696358816,370.4854414437932,291.11493898418445,373.1801719731753,257.86823633670593,604.7996062547132,
2023-02-06 18:00:00,39,85.61615953658274,249.45644849433893,190.8576800257273,197.68126001090093,167.76627714836766,404.60259684298313,
2023-02-06 19:00:00,40,36.82573064806891,211.43961256738024,99.4166721820306,116.97626093795816,103.0669989363944,249.9598161196559,
2023-02-06 20:00:00,41,22.171615381398325,121.48572988834172,40.46995657500701,71.86013488365552,65.04659116246977,189.78169856850812,
2023-02-06 21:00:00,42,3.2237777298156547,82.26952388090868,16.465813257014098,51.70247519337702,49.30810294543686,142.03551130171866,
