date,level_0,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd
2023-02-05 03:00:00,0,4.280415576384429,,1.2809029917566062,5.884229471843613,68.18895640785297,0.5108114449411529,
2023-02-05 04:00:00,1,5.304680757711095,32.93295879611959,1.2736935077093403,4.6914526571204895,71.24195743848456,0.800986468245141,
2023-02-05 05:00:00,2,4.756921225870895,33.81484921710366,1.647263262591109,5.713360336715599,71.8477386386589,0.5103631208730003,
2023-02-05 06:00:00,3,4.32931280568951,32.693613395194326,1.0031580019373192,12.672344699366668,70.14306196996377,5.751939438188178,
2023-02-05 07:00:00,4,16.502247748409832,30.243570731363047,2.2411013249629,50.29834528772631,64.04671681346755,15.467007889921415,
2023-02-05 08:00:00,5,24.832233089632066,37.582571792292704,11.967014329714342,60.12298520208079,53.51264324153264,32.6839153962802,
2023-02-05 09:00:00,6,63.44457688199574,50.35305625154616,10.799386007385465,62.32276813487985,49.46868574242811,60.04737200865489,
2023-02-05 10:00:00,7,60.34763950790987,59.82299741606022,26.57405286646435,68.78783286783244,55.57037874432023,104.74005801902318,
2023-02-05 11:00:00,8,91.21768971087266,68.13963073360374,26.00796275267923,78.04469689708029,69.83631174526995,122.6878928574306,
2023-02-05 12:00:00,9,88.78741847602163,91.38255620697116,40.75664226432227,86.13116387591444,57.15732060655437,121.60830908276064,
2023-02-05 13:00:00,10,70.1208359984129,68.96496450140864,37.87234938803584,87.98121514219605,76.3531840444157,92.07876320674754,
2023-02-05 14:00:00,11,67.82783654710302,67.2217574801882,39.50240834998653,87.29107779217361,85.68334083907256,92.39519182262636,
2023-02-05 15:00:00,12,70.72303241463285,71.12165975244633,45.56945817923923,97.48458971062324,61.3306117328388,97.69195638630178,
2023-02-05 16:00:00,13,87.73596138901716,62.759789303610525,49.42861659283909,82.16217322111112,81.1114925360832,101.13698751301024,
2023-02-05 17:00:00,14,54.40425044631346,42.90802846995576,36.241620147323054,71.1229113463464,59.92355781150656,105.38158363755628,
2023-02-05 18:00:00,15,20.13801367221457,33.49798743885352,42.26957628339996,66.7135482961383,57.02386228697243,65.52523057931714,
2023-02-05 19:00:00,16,12.73745726725074,29.86000606097017,56.80053592934782,61.01645618879476,73.88905847132659,68.22060498083297,
2023-02-05 20:00:00,17,5.231627455645675,23.630254955152,81.63194211753328,52.39542844890813,67.91306070543594,76.9501157158799,
2023-02-05 21:00:00,18,5.358383626672996,22.48987599759053,78.65840180621161,51.313574490613405,71.85215502113596,65.125682495588,
2023-02-05 22:00:00,19,3.8102317759094135,22.111995794981453,58.21890612453992,27.996729397662268,75.71367226334326,52.62792747940232,
2023-02-05 23:00:00,20,3.968378063596668,19.97696726129796,9.07577688905375,21.37318906351777,66.21998094555562,30.64146232974085,
2023-02-06 00:00:00,21,2.597688312649997,26.40300767643744,7.686117144163771,12.872954554122588,71.74313993064575,6.510870235303853,
2023-02-06 01:00:00,22,3.216883795722916,26.93125581952558,1.2959972719681687,10.93799712301968,69.97218615720263,2.79730764677332,
2023-02-06 02:00:00,23,3.7583647122621455,22.68112527990304,0.9205394994177803,11.352539476758066,69.61838344426722,1.3467249581635858,
2023-02-06 03:00:00,24,3.052931846347472,6.450399586988171,0.0,11.330694834483454,69.736214908768,0.0,
2023-02-06 04:00:00,25,1.7000801969996169,7.020335198642525,0.0097973364350149,0.0,14.329219977034905,0.0,
2023-02-06 05:00:00,26,1.719664260022229,7.271877864372226,0.1225958162907061,0.0,14.608499714728731,0.0,
2023-02-06 06:00:00,27,9.7091284130247,23.53316993696309,1.5937084465130873,10.619615747622174,14.746429110283264,5.032447718604374,
2023-02-06 07:00:00,28,48.34581709423065,95.70915544905336,7.835887053853711,96.76595139023004,18.55970548092088,52.05013914470143,
2023-02-06 08:00:00,29,110.65592316133336,196.56809727201468,40.8993128590042,271.54454694564305,71.04501009830166,268.24501864232246,
2023-02-06 09:00:00,30,222.38015540259408,380.470954504042,148.16308324679784,442.4081591331994,163.47967423917078,511.3895015409488,
2023-02-06 10:00:00,31,326.79937970842,563.850431240136,238.35856339732743,593.860906273014,315.22345223746214,802.6849385737239,
2023-02-06 11:00:00,32,399.6331022514396,676.6258983245655,313.2904466003025,684.0236021882541,363.6688256074778,842.4249456747646,
2023-02-06 12:00:00,33,437.4594801288972,754.010941940964,387.17907086147466,696.0412378206264,407.5976905881957,886.8991720308251,
2023-02-06 13:00:00,34,422.70598308797,714.3074706448404,489.5222267500775,697.8258052300208,408.0371851780524,889.9598062528836,
2023-02-06 14:00:00,35,428.64403815915193,741.2022908887151,497.3540763901427,696.6051764579487,409.6808079208351,836.0072773948568,
2023-02-06 15:00:00,36,368.73338076060736,657.1640035023388,451.16070310024367,711.147859218849,405.8071108922458,903.5460062286284,
2023-02-06 16:00:00,37,269.991334955252,560.7290369665944,365.3531530411185,580.05380829475,341.4416751145852,796.5669619640638,
2023-02-06 17:00:00,38,139.4517264449464,368.2493739663294,260.50218487401213,318.0135294254967,234.4036218742993,496.5971808768544,
2023-02-06 18:00:00,39,32.563988278163706,265.85893377776426,165.25736787978403,188.3325084866965,128.26626271821615,318.6139233774529,
2023-02-06 19:00:00,40,8.809747012813405,158.99336750462734,73.4489225102451,87.97094036878997,92.25344636072984,262.2293203007376,
2023-02-06 20:00:00,41,3.134926742040505,123.11632367520856,49.98731839741763,54.047410816233416,73.8553086693998,171.23938184097807,
2023-02-06 21:00:00,42,2.1828486903994566,82.51341773715451,28.76556281685497,43.817967052180094,54.51109234631871,140.49296719121455,
