Metric,Fraser,Health Sciences,North,Rose,Thunderbird,University Lot Blvd,West
MAE,0.0204984442167381,0.0216230664034937,0.0228589890872519,0.0322773381416686,0.026644296330481,0.04635703101821,0.0222880834809117
MSE,0.0017320243595244,0.0025207522182841,0.0019068648595689,0.004866495785468,0.0043303924528013,0.0068837115606743,0.0021026143910088
RMSE,0.0416175967533495,0.0502070933064656,0.0436676637750289,0.0697602736911779,0.0658057174780533,0.0829681358153496,0.0458542734214471
R-squared,0.9465923242647142,0.9543230714188644,0.939616194156156,0.8844826979230763,0.8947558323916481,0.728329751699103,0.938714399901485
