Metric,Fraser,Health Sciences,North,Rose,Thunderbird,University Lot Blvd,West
MAE,0.0469570706247452,0.0379698732057993,0.0345754870878683,0.0533761255613792,0.0519116398064876,0.0650773605854533,0.0370086707515412
MSE,0.0062964900177889,0.0053997952026343,0.0049169415955118,0.0104273076955177,0.0135985943390508,0.011224338517863218,0.005004145222917
RMSE,0.0793504254417642,0.0734832988007093,0.0701209069786742,0.1021141894915578,0.1166130110195722,0.10594497872888181,0.0707399831984504
R-squared,0.8058451688099382,0.9021537864632424,0.8442974890648404,0.7524842297184262,0.669505072009994,0.557024026169028,0.8541425169170258
