"Vehicles","TimestampUnix"
16,"1717142340"
43,"1717145940"
70,"1717149540"
87,"1717153140"
104,"1717156740"
110,"1717160340"
102,"1717163940"
90,"1717167540"
90,"1717171140"
49,"1717174740"
28,"1717178340"
10,"1717181940"
9,"1717185540"
0,"1717189140"
1,"1717192740"
5,"1717196340"
3,"1717199940"
2,"1717203540"
2,"1717207140"
2,"1717210740"
2,"1717214340"
3,"1717217940"
3,"1717221540"
2,"1717225140"
3,"1717228740"
8,"1717232340"
17,"1717235940"
40,"1717239540"
156,"1717243140"
220,"1717246740"
236,"1717250340"
243,"1717253940"
56,"1717257540"
45,"1717261140"
37,"1717264740"
30,"1717268340"
29,"1717271940"
30,"1717275540"
22,"1717279140"
21,"1717282740"
14,"1717286340"
10,"1717289940"
7,"1717293540"
6,"1717297140"
6,"1717300740"
6,"1717304340"
6,"1717307940"
6,"1717311540"
7,"1717315140"
11,"1717318740"
12,"1717322340"
14,"1717325940"
17,"1717329540"
27,"1717333140"
31,"1717336740"
53,"1717340340"
57,"1717343940"
51,"1717347540"
15,"1717351140"
7,"1717354740"
7,"1717358340"
6,"1717361940"
4,"1717365540"
2,"1717369140"
1,"1717372740"
0,"1717376340"
0,"1717379940"
0,"1717383540"
0,"1717387140"
0,"1717390740"
1,"1717394340"
7,"1717397940"
29,"1717401540"
108,"1717405140"
156,"1717408740"
190,"1717412340"
199,"1717415940"
209,"1717419540"
226,"1717423140"
213,"1717426740"
177,"1717430340"
85,"1717433940"
41,"1717437540"
26,"1717441140"
15,"1717444740"
7,"1717448340"
1,"1717451940"
3,"1717455540"
0,"1717459140"
0,"1717462740"
0,"1717466340"
0,"1717469940"
0,"1717473540"
1,"1717477140"
1,"1717480740"
7,"1717484340"
37,"1717487940"
120,"1717491540"
186,"1717495140"
214,"1717498740"
223,"1717502340"
218,"1717505940"
216,"1717509540"
200,"1717513140"
173,"1717516740"
149,"1717520340"
215,"1717523940"
256,"1717527540"
253,"1717531140"
237,"1717534740"
22,"1717538340"
4,"1717541940"
3,"1717545540"
0,"1717549140"
1,"1717552740"
1,"1717556340"
1,"1717559940"
0,"1717563540"
2,"1717567140"
7,"1717570740"
7,"1717570800"
