stall_id,stall_name,payload_timestamp,status,unix_timestamp
418,FP-01,2024-06-14 07:27:34,vacant,1718375254
419,FP-02,2024-06-14 07:07:12,vacant,1718374032
420,HP-04,2024-06-14 07:44:20,vacant,1718376260
421,HP-05,2024-06-14 07:11:50,vacant,1718374310
422,HP-03,2024-06-14 07:27:10,vacant,1718375230
423,HP-02,2024-06-14 07:39:21,vacant,1718375961
424,HP-01,2024-06-14 07:38:56,vacant,1718375936
425,HP-10,2024-06-14 07:51:04,vacant,1718376664
426,HP-09,2024-06-14 07:40:11,vacant,1718376011
427,HP-08,2024-06-14 07:16:22,vacant,1718374582
428,HP-07,2024-06-14 07:40:07,vacant,1718376007
429,HP-06,2024-06-14 07:24:49,vacant,1718375089
430,NL-01,2024-06-14 07:29:37,vacant,1718375377
431,NL-02,2024-06-14 07:28:33,vacant,1718375313
432,NL-03,2024-06-14 07:23:00,vacant,1718374980
434,NP-08,2024-06-14 06:58:19,vacant,1718373499
435,NP-07,2024-06-14 07:40:10,vacant,1718376010
436,NP-01,2024-06-14 06:55:34,vacant,1718373334
437,NP-02,2024-06-14 07:50:40,vacant,1718376640
438,NP-03,2024-06-14 07:50:05,vacant,1718376605
439,NP-04,2024-06-14 07:42:53,vacant,1718376173
440,NP-05,2024-06-14 07:06:24,vacant,1718373984
441,NP-06,2024-06-14 07:49:16,vacant,1718376556
442,NP-10,2024-06-14 07:47:50,vacant,1718376470
443,TP-01,2024-06-14 07:15:19,vacant,1718374519
444,TP-02,2024-06-14 07:23:48,vacant,1718375028
445,TP-03,2024-06-14 07:36:34,vacant,1718375794
446,TP-04,2024-06-14 07:32:33,vacant,1718375553
447,TP-05,2024-06-14 07:43:06,vacant,1718376186
448,TP-08,2024-06-14 07:43:22,vacant,1718376202
449,TP-07,2024-06-14 07:36:36,vacant,1718375796
450,TP-06,2024-06-14 07:27:13,vacant,1718375233
451,TP-09,2024-06-14 06:59:40,vacant,1718373580
452,TP-10,2024-06-14 07:08:34,vacant,1718374114
453,TP-11,2024-06-14 06:53:31,vacant,1718373211
454,TP-12,2024-06-14 06:56:14,vacant,1718373374
455,TP-13,2024-06-14 07:44:42,vacant,1718376282
456,TP-14,2024-06-14 07:31:08,vacant,1718375468
457,TP-15,2024-06-14 07:27:33,vacant,1718375253
458,UL-06,2024-06-14 07:00:34,vacant,1718373634
459,UL-05,2024-06-14 07:14:01,vacant,1718374441
460,UL-04,2024-06-14 07:44:50,vacant,1718376290
461,UL-03,2024-06-14 07:38:52,vacant,1718375932
462,UL-02,2024-06-14 07:37:46,vacant,1718375866
463,UL-01,2024-06-14 07:32:02,vacant,1718375522
464,WP-01,2024-06-14 07:19:33,vacant,1718374773
465,WP-02,2024-06-14 07:29:26,vacant,1718375366
466,WP-03,2024-06-14 07:39:03,vacant,1718375943
467,WP-04,2024-06-14 07:38:44,vacant,1718375924
468,WP-10,2024-06-14 06:57:20,vacant,1718373440
