park,hour,weekday,season,Term,cars
North,1,Friday,Spring,2.0,35.0
North,1,Friday,Summer,0.0,44.0
North,1,Friday,Summer,1.0,29.0
North,1,Friday,Summer,2.0,
North,1,Friday,Winter,0.0,16.0
North,1,Friday,Winter,1.0,
North,1,Friday,Winter,2.0,31.0
North,1,Saturday,Fall,0.0,64.0
North,1,Saturday,Fall,1.0,
North,1,Saturday,Fall,2.0,54.0
North,1,Saturday,Spring,0.0,31.0
North,1,Saturday,Spring,1.0,37.0
North,1,Saturday,Spring,2.0,43.0
North,1,Saturday,Summer,0.0,34.0
North,1,Saturday,Summer,1.0,35.0
North,1,Saturday,Summer,2.0,
North,1,Saturday,Winter,0.0,22.0
North,1,Saturday,Winter,1.0,
North,1,Saturday,Winter,2.0,49.0
North,1,Sunday,Fall,0.0,80.0
North,1,Sunday,Fall,1.0,
North,1,Sunday,Fall,2.0,68.0
North,1,Sunday,Spring,0.0,33.0
North,1,Sunday,Spring,1.0,34.0
North,1,Sunday,Spring,2.0,40.0
North,1,Sunday,Summer,0.0,36.0
North,1,Sunday,Summer,1.0,34.0
North,1,Sunday,Summer,2.0,
North,1,Sunday,Winter,0.0,23.0
North,1,Sunday,Winter,1.0,
North,1,Sunday,Winter,2.0,46.0
North,2,Monday,Fall,0.0,80.0
North,2,Monday,Fall,1.0,
North,2,Monday,Fall,2.0,79.0
North,2,Monday,Spring,0.0,58.0
North,2,Monday,Spring,1.0,38.0
North,2,Monday,Spring,2.0,47.0
North,2,Monday,Summer,0.0,34.0
North,2,Monday,Summer,1.0,45.0
North,2,Monday,Summer,2.0,
North,2,Monday,Winter,0.0,22.0
North,2,Monday,Winter,1.0,
North,2,Monday,Winter,2.0,52.0
North,2,Tuesday,Fall,0.0,
North,2,Tuesday,Fall,1.0,
North,2,Tuesday,Fall,2.0,33.0
North,2,Tuesday,Spring,0.0,16.0
North,2,Tuesday,Spring,1.0,12.0
North,2,Tuesday,Spring,2.0,17.0
