Actual,North
7,2.0136132524994865
5,10.662814245381487
4,9.902984139216972
4,8.741112913999089
2,18.39069214571923
5,25.16791409637955
22,38.69120760370956
38,50.775134811567554
47,50.14439138073514
53,51.105922756712765
57,54.67185410050898
65,67.91228717163014
87,69.03151880353096
88,91.11879098730093
77,60.24232390315097
47,40.37993486352107
24,10.311877278406394
5,9.793603758996888
3,14.721214157242237
6,0.6690817704453575
0,2.9070073075010607
0,2.790827751133131
1,1.9912031674707882
3,4.31840629617855
0,0.12696252511342615
2,0.1663580360929295
2,1.0115769392312879
17,13.500824333088458
69,54.58042612896455
113,136.6139646782028
239,255.39276009366156
394,376.14815978092946
462,427.17344226703284
483,429.4346183927241
485,462.4962852604652
480,462.19119087239693
410,394.8572855824548
288,282.212248581712
126,109.37291243905835
0,24.233584417531667
0,3.237738791112786
0,5.90092735457118
1,0.48559779712826306
0,1.2951474567548344
0,0.30003706381460044
0,0.0
2,1.377154337081143
0,3.7798911580309653
1,7.804188155553812
3,7.734396364414361
5,7.370614496342577
20,13.897496043358526
64,58.691409318908214
132,131.78669574616842
260,256.46813849174976
380,376.34637373663224
480,427.0151503951426
507,455.9630311418962
507,439.2347218987911
525,472.8233444667333
476,434.7060992502065
375,331.3778060635113
213,169.7753191718542
80,41.86624974250042
1,6.138485436986614
3,4.202112259791654
1,4.196006412990584
0,3.2845217030402414
0,3.2851004285633523
0,3.3792903072135925
0,2.36642991923076
0,3.043716454525098
0,2.742824721432807
0,3.2978152495140285
2,6.02963234928126
17,36.43255145022134
65,61.57295850754663
122,124.53916650288734
261,257.7220674288469
380,410.94115359931493
450,473.03172509223975
467,501.1845480943016
461,490.42766866429906
447,486.4918662322582
400,443.97246736293476
298,323.59076085368145
151,143.42131200244086
53,43.85315551794237
0,1.6478301637520507
0,0.9263162274361786
1,0.0403805406761732
0,0.8634534099941791
0,0.0
0,0.0
1,0.6661821680988017
0,0.15100780972115152
1,1.7256407588186773
1,2.78115637261231
2,1.2682833282721822
15,8.419795215682095
80,54.29738069405471
124,123.53309169823528
221,250.93556539112146
334,366.7328509179793
427,418.973529161917
458,434.38672393376066
449,443.25703632421886
461,468.13827318417026
407,436.12521680448333
298,322.68855585322956
166,173.73306438924945
32,32.92267142313599
0,1.1409420708127287
2,0.37862406847175595
0,0.8363170233415782
0,0.0
0,0.0
1,0.934261254819708
0,3.5696021302472625
2,3.9947190211706936
2,3.3026720766295514
1,4.224778822828125
1,4.234998727924059
17,17.882534537379993
72,60.493825546714184
107,118.22623233771778
203,201.4631304096577
314,304.5450686845862
365,341.83905021574594
381,367.65115582867634
382,356.93591524786166
350,349.52733550230255
273,256.91533564760283
129,151.1416374323459
16,39.031108168531226
6,8.43607692480001
2,8.472480277631535
0,3.055730127702461
0,1.4117984955371807
3,0.0
0,0.8940389991950393
0,1.6786613281389249
1,0.9511325499700314
0,1.1304834429218302
0,0.0
1,0.40383967451955666
3,1.9154123938558145
8,2.2430914241679063
2,14.610434262135627
10,21.119338829328033
23,42.516518366606746
47,68.85434380994556
76,88.9134581009775
81,101.90046811323073
69,96.09222834877316
65,86.96778547525567
55,86.69321771375989
50,76.45030459784654
43,53.07990215576257
28,46.19340185505849
21,21.4362884637599
12,4.35666879596386
0,5.283535553549513
0,3.7035787876007658
1,1.344464684949835
2,1.3813928766124937
0,0.3806464540616911
0,0.0
1,4.189911191255424
0,3.7436135917614353
0,3.0346953288364156
1,1.9191828247499394
1,12.279903207715684
7,18.6363908102874
14,41.338152158522774
25,49.04796668717542
27,59.21868138999825
32,66.93822509156094
59,62.59593941025575
59,64.58062327590216
73,76.09610974341244
60,78.54594828405816
52,57.38364360733386
37,37.42202966341478
19,20.34874437920281
3,6.992117496918456
0,7.385765752854689
0,4.447046820793546
1,2.875933865621408
0,2.7434543358689463
0,2.92651701346414
1,7.227888184379872
0,0.797560832498556
0,0.3272240172693231
1,1.2807822585249045
17,17.162233052438605
62,61.454408272534174
122,124.09957310470203
235,241.7470141126607
354,385.2659836081417
415,439.5835642825569
446,458.351510104262
460,463.3465099026849
454,464.68051750406215
381,400.08843383016466
296,309.6356712687409
168,136.7401440910225
77,17.65673385826909
3,0.12015081183868262
3,1.4280623763130107
0,0.16132788028595774
1,0.014181688841996682
1,0.8596212995540083
0,0.0
0,0.10384558556893773
0,0.44842674044028047
1,1.200593038695821
3,2.246007592355511
5,2.395732329137333
24,19.039565028402915
68,63.276110582994264
125,122.764135826873
249,252.52617046428486
381,359.44447643911514
443,367.27789344687017
457,358.686060803753
453,332.3609611867997
482,325.7523639176715
431,347.48446545273333
324,319.27279711587664
183,200.65682846996165
39,75.46915976303566
1,0.5486835952638662
3,0.0
0,0.682798715539984
0,0.0
0,0.0
4,0.522344114640589
1,0.4172941558507966
0,0.4400785721720107
0,0.4400785721720107
0,0.6617169611826108
1,2.6795109857494865
21,22.90696567519495
53,62.855605799746556
129,120.89087146567
263,269.0826048479106
406,394.9989351793981
480,440.44831440303705
516,444.65359396989936
512,451.09411732919466
495,447.76926253691806
449,423.098079536771
357,295.98818413992797
213,124.35780652315617
115,46.676712316808754
20,1.035398945936335
1,0.0
1,0.8539153995226052
1,0.0
0,0.0
1,0.2942271704858011
5,0.0
2,0.0
0,0.0
1,0.0
1,0.0
18,14.910573952294616
52,65.10724319682278
122,119.3357456090484
233,224.11927960071324
362,359.2307251967714
444,422.26823255641455
457,417.5457813838442
449,400.70706032877746
461,364.36577189904045
420,350.1525297490644
312,288.24718898109995
106,155.68253539367635
106,50.645761511045016
34,1.4082696421714165
