Metric,Fraser,Health Sciences,North,Rose,Thunderbird,University Lot Blvd,West
MAE,0.0369070404852317,0.0307878160435538,0.0291619543933932,0.0405937447484266,0.0383816048212852,0.0550622920659007,0.0291671302125279
MSE,0.0038956021009282,0.0040287370853028,0.0031798742096931,0.0063969110201695,0.0085831165825659,0.0088292575546225,0.0036090580248662
RMSE,0.0624147586787634,0.0634723332271849,0.0563903733778479,0.0799806915459574,0.0926451109479933,0.093964129084574,0.0600754361188188
R-squared,0.8798267303857487,0.9268730666184904,0.8992917975005161,0.8481294287631046,0.7913992853850396,0.6515474869865263,0.8947583226134858
