Metric,Fraser,Health Sciences,North,Rose,West
MAE,14.861372057135133,25.709825953754116,22.630399196379447,26.047811880326627,27.45891884848326
MSE,910.3953039750198,3563.640346784883,1868.9182488635545,3169.300513790285,3191.3985854185885
RMSE,30.172757646178447,59.69623394138765,43.230987137278674,56.29654086878061,56.49246485522285
R-squared,0.9465923242647142,0.9543230714188644,0.939616194156156,0.8844826979230763,0.938714399901485
