occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
22.65,10.65,5.35,61.01,60.85

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2023-07-28,1,1,1,0.52,0,2.78,1,2
2023-07-29,0,0,0,0,0,0,0,0
2023-07-30,0,0,0,0,0,0,0,0
2023-07-31,0,0,0,0,0,0,0,0
2023-08-01,0,0,0,0,0,0,0,0
2023-08-02,0,0,0,0,0,0,0,0
2023-08-03,0,0,0,0,0,0,0,0
2023-08-04,11,10,11,46.12,499.83,60.38,11,21
2023-08-05,0,0,1,100,0,1440,1,0
2023-08-06,0,0,1,100,0,1440,1,0
2023-08-07,0,0,1,100,0,1440,1,0
2023-08-08,10,11,11,58.02,32.15,75.95,11,21
2023-08-09,6,6,6,12.7,30.47,30.47,6,12
2023-08-10,5,5,5,1.47,4.23,4.23,5,10
2023-08-11,7,7,7,16.56,34.08,34.08,7,14
2023-08-12,2,2,2,2.47,17.78,17.78,2,4
2023-08-13,5,5,5,0.74,2.12,2.12,5,10
2023-08-14,8,8,8,24.63,44.33,44.33,8,16
2023-08-15,8,8,8,26.89,48.4,48.4,8,16
2023-08-16,5,5,5,1.21,3.48,3.48,5,10
2023-08-17,7,7,7,31.09,63.95,63.95,7,14
2023-08-18,9,9,9,15.26,24.41,24.41,9,18
2023-08-19,2,2,2,21.33,153.55,153.55,2,4
2023-08-20,1,1,1,5.93,85.37,85.37,1,2
2023-08-21,10,10,10,20.46,29.46,29.46,10,20
2023-08-22,10,10,10,37.34,53.78,53.78,10,20
2023-08-23,6,6,6,16.54,39.71,39.71,6,12
2023-08-24,3,3,3,54.39,261.09,261.09,3,6
2023-08-25,5,5,5,28.63,82.47,82.47,5,10
2023-08-26,3,3,3,39.27,188.52,188.52,3,6
2023-08-27,2,2,2,16.7,120.27,120.27,2,4
2023-08-28,8,8,8,24.77,44.58,44.58,8,16
2023-08-29,3,3,3,43.64,209.47,209.47,3,6
2023-08-30,8,8,8,33.65,60.57,60.57,8,16
2023-08-31,3,3,3,4.29,20.61,20.61,3,6
2023-09-01,6,5,6,26.35,67.21,63.24,6,11
2023-09-02,1,2,2,9.31,110.18,67.03,2,3
2023-09-03,3,3,3,14.7,70.57,70.57,3,6
2023-09-04,1,1,1,6.19,89.2,89.2,1,2
2023-09-05,12,12,12,14.88,17.86,17.86,12,24
2023-09-06,8,8,8,42.24,76.03,76.03,8,16
2023-09-07,8,8,8,44.74,80.53,80.53,8,16
2023-09-08,3,3,3,39.9,191.5,191.5,3,6
2023-09-09,7,7,7,34.88,71.76,71.76,7,14
2023-09-10,7,7,7,32.11,66.06,66.06,7,14
2023-09-11,5,5,5,15.68,45.15,45.15,5,10
2023-09-12,9,9,9,35.62,56.99,56.99,9,18
