occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
14.19,9.15,4.57,44.59,44.59

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2023-07-31,0,0,0,0,0,0,0,0
2023-08-01,0,0,0,0,0,0,0,0
2023-08-02,0,0,0,0,0,0,0,0
2023-08-03,1,1,1,0.09,1.32,1.32,1,2
2023-08-04,4,4,4,2,7.18,7.18,4,8
2023-08-05,0,0,0,0,0,0,0,0
2023-08-06,2,2,2,14.65,105.5,105.5,2,4
2023-08-07,2,2,2,5.38,38.75,38.75,2,4
2023-08-08,4,4,4,9.94,35.8,35.8,4,8
2023-08-09,2,2,2,12.71,91.48,91.48,2,4
2023-08-10,1,1,1,0.35,5.02,5.02,1,2
2023-08-11,1,1,1,0.04,0.6,0.6,1,2
2023-08-12,1,1,1,0.76,11,11,1,2
2023-08-13,0,0,0,0,0,0,0,0
2023-08-14,5,5,5,17.55,50.53,50.53,5,10
2023-08-15,3,3,3,13.58,65.2,65.2,3,6
2023-08-16,2,2,2,1.16,8.36,8.36,2,4
2023-08-17,4,4,4,14.87,53.52,53.52,4,8
2023-08-18,0,0,0,0,0,0,0,0
2023-08-19,0,0,0,0,0,0,0,0
2023-08-20,1,1,1,0.2,2.87,2.87,1,2
2023-08-21,2,2,2,6.11,43.96,43.96,2,4
2023-08-22,3,3,3,6.47,31.06,31.06,3,6
2023-08-23,4,4,4,13.87,49.94,49.94,4,8
2023-08-24,3,3,3,15.67,75.22,75.22,3,6
2023-08-25,2,2,2,17.01,122.45,122.45,2,4
2023-08-26,5,5,5,27.12,78.09,78.09,5,10
2023-08-27,2,2,2,2.77,19.91,19.91,2,4
2023-08-28,4,4,4,14.3,51.48,51.48,4,8
2023-08-29,2,2,2,7.47,53.78,53.78,2,4
2023-08-30,4,4,4,13.63,49.07,49.07,4,8
2023-08-31,2,2,2,0.38,2.7,2.7,2,4
2023-09-01,1,1,1,8.25,118.78,118.78,1,2
2023-09-02,0,0,0,0,0,0,0,0
2023-09-03,0,0,0,0,0,0,0,0
2023-09-04,3,3,3,5.72,27.44,27.44,3,6
2023-09-05,5,5,5,17.61,50.73,50.73,5,10
2023-09-06,8,8,8,15.05,27.09,27.09,8,16
2023-09-07,7,7,7,18.56,38.19,38.19,7,14
2023-09-08,6,6,6,5.98,14.34,14.34,6,12
2023-09-09,10,10,10,20.13,28.99,28.99,10,20
2023-09-10,7,7,7,27.78,57.15,57.15,7,14
2023-09-11,6,6,6,12.59,30.21,30.21,6,12
2023-09-12,3,3,3,16.32,78.33,78.33,3,6
2023-09-13,4,4,4,14.98,53.92,53.92,4,8
2023-09-14,10,10,10,12.52,18.04,18.04,10,20
2023-09-15,2,2,2,16.66,119.93,119.93,2,4
2023-09-16,7,7,7,31.95,65.74,65.74,7,14
2023-09-17,10,10,10,30.64,44.12,44.12,10,20
2023-09-18,9,9,9,14.58,23.33,23.33,9,18
2023-09-19,10,10,10,12.95,18.65,18.65,10,20
2023-09-20,6,6,6,15.66,37.58,37.58,6,12
2023-09-21,10,10,10,14.66,21.12,21.12,10,20
2023-09-22,3,3,3,23.57,113.12,113.12,3,6
2023-09-23,9,9,9,34.06,54.49,54.49,9,18
2023-09-24,8,8,8,38.85,69.93,69.93,8,16
2023-09-25,10,10,10,10.41,14.99,14.99,10,20
2023-09-26,7,7,7,18.23,37.5,37.5,7,14
2023-09-27,6,6,6,12.3,29.53,29.53,6,12
2023-09-28,7,7,7,14.38,29.58,29.58,7,14
2023-09-29,2,2,2,3.38,24.35,24.35,2,4
2023-09-30,7,7,7,37.28,76.7,76.7,7,14
2023-10-01,7,7,7,21.7,44.64,44.64,7,14
2023-10-02,3,3,3,2.29,10.99,10.99,3,6
2023-10-03,8,8,8,11.13,20.04,20.04,8,16
2023-10-04,7,7,7,15.69,32.27,32.27,7,14
2023-10-05,6,6,6,17.04,40.9,40.9,6,12
2023-10-06,6,6,6,15.24,36.59,36.59,6,12
2023-10-07,3,3,3,7.79,37.4,37.4,3,6
2023-10-08,0,0,0,0,0,0,0,0
2023-10-09,0,0,0,0,0,0,0,0
2023-10-10,7,7,7,9.13,18.78,18.78,7,14
2023-10-11,7,7,7,13.81,28.41,28.41,7,14
2023-10-12,7,7,7,14,28.8,28.8,7,14
2023-10-13,4,4,4,11.23,40.43,40.43,4,8
2023-10-14,5,5,5,31.48,90.67,90.67,5,10
2023-10-15,10,10,10,36.57,52.66,52.66,10,20
2023-10-16,8,8,8,5.62,10.12,10.12,8,16
2023-10-17,8,8,8,8.4,15.12,15.12,8,16
2023-10-18,8,8,8,20.78,37.4,37.4,8,16
2023-10-19,7,7,7,7.98,16.41,16.41,7,14
2023-10-20,7,7,7,12.47,25.66,25.66,7,14
2023-10-21,10,10,10,31.61,45.52,45.52,10,20
2023-10-22,5,5,5,31.72,91.36,91.36,5,10
2023-10-23,6,6,6,15.02,36.05,36.05,6,12
2023-10-24,7,7,7,11.48,23.62,23.62,7,14
2023-10-25,8,8,8,12.54,22.57,22.57,8,16
2023-10-26,5,5,5,7.42,21.38,21.38,5,10
2023-10-27,4,4,4,12.48,44.92,44.92,4,8
2023-10-28,11,11,11,43.67,57.16,57.16,11,22
2023-10-29,4,4,4,30.82,110.97,110.97,4,8
2023-10-30,7,7,7,6.44,13.25,13.25,7,14
2023-10-31,1,1,1,0.13,1.87,1.87,1,2
2023-11-01,7,7,7,10.54,21.68,21.68,7,14
2023-11-02,4,4,4,15.1,54.37,54.37,4,8
2023-11-03,4,4,4,19.26,69.34,69.34,4,8
2023-11-04,4,4,4,38.58,138.88,138.88,4,8
2023-11-05,6,6,6,39.88,99.7,99.7,6,12
2023-11-06,6,6,6,7.99,19.18,19.18,6,12
2023-11-07,5,5,5,12.56,36.17,36.17,5,10
2023-11-08,8,8,8,18.93,34.08,34.08,8,16
2023-11-09,6,6,6,6.67,16.01,16.01,6,12
2023-11-10,3,3,3,13.37,64.18,64.18,3,6
2023-11-11,8,8,8,36.87,66.36,66.36,8,16
2023-11-12,6,6,6,29.89,71.74,71.74,6,12
2023-11-13,8,8,8,18.38,33.08,33.08,8,16
2023-11-14,5,5,5,14,40.33,40.33,5,10
2023-11-15,6,6,6,11.76,28.23,28.23,6,12
2023-11-16,4,4,4,12.67,45.6,45.6,4,8
2023-11-17,3,3,3,15.52,74.48,74.48,3,6
2023-11-18,10,10,10,32.7,47.1,47.1,10,20
2023-11-19,6,6,6,34.65,83.15,83.15,6,12
2023-11-20,4,4,4,10.21,36.75,36.75,4,8
2023-11-21,6,6,6,7.06,16.94,16.94,6,12
2023-11-22,8,8,8,19.44,35,35,8,16
2023-11-23,11,11,11,13.86,18.15,18.15,11,22
2023-11-24,1,1,1,15.73,226.48,226.48,1,2
2023-11-25,5,5,5,28.26,81.38,81.38,5,10
2023-11-26,4,4,4,25.38,91.36,91.36,4,8
2023-11-27,8,8,8,8.68,15.63,15.63,8,16
2023-11-28,7,7,7,14.88,30.6,30.6,7,14
2023-11-29,8,8,8,24.05,43.29,43.29,8,16
2023-11-30,5,5,5,4.48,12.89,12.89,5,10
2023-12-01,6,6,6,17.11,41.06,41.06,6,12
2023-12-02,7,7,7,27.59,56.76,56.76,7,14
2023-12-03,8,8,8,33.04,59.48,59.48,8,16
2023-12-04,5,5,5,7.65,22.03,22.03,5,10
2023-12-05,3,3,3,5.14,24.66,24.66,3,6
2023-12-06,8,8,8,13.18,23.73,23.73,8,16
2023-12-07,5,5,5,4.14,11.92,11.92,5,10
2023-12-08,2,2,2,0.23,1.63,1.63,2,4
2023-12-09,9,9,9,13.2,21.12,21.12,9,18
2023-12-10,8,8,8,19.4,34.91,34.91,8,16
2023-12-11,3,3,3,13.5,64.79,64.79,3,6
2023-12-12,6,6,6,14.06,33.75,33.75,6,12
2023-12-13,5,5,5,8.75,25.21,25.21,5,10
2023-12-14,9,9,9,8.4,13.44,13.44,9,18
2023-12-15,3,3,3,6.75,32.41,32.41,3,6
2023-12-16,7,7,7,30.05,61.81,61.81,7,14
2023-12-17,10,10,10,27.77,39.99,39.99,10,20
2023-12-18,1,1,1,5.66,81.5,81.5,1,2
2023-12-19,1,1,1,0.3,4.25,4.25,1,2
2023-12-20,0,0,0,0,0,0,0,0
2023-12-21,0,0,0,0,0,0,0,0
2023-12-22,2,2,2,1.37,9.88,9.88,2,4
2023-12-23,0,0,0,0,0,0,0,0
2023-12-24,0,0,0,0,0,0,0,0
2023-12-25,0,0,0,0,0,0,0,0
2023-12-26,3,3,3,0.7,3.34,3.34,3,6
2023-12-27,0,0,0,0,0,0,0,0
2023-12-28,1,1,1,1.24,17.82,17.82,1,2
2023-12-29,0,0,0,0,0,0,0,0
2023-12-30,1,1,1,0.07,1,1,1,2
2023-12-31,0,0,0,0,0,0,0,0
2024-01-01,0,0,0,0,0,0,0,0
2024-01-02,2,2,2,6.34,45.65,45.65,2,4
2024-01-03,3,3,3,0.67,3.2,3.2,3,6
