occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
19.86,11.07,5.55,51.35,51.39

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2023-07-28,2,2,2,50,0,120,2,4
2023-07-29,1,1,1,4.17,0,60,1,2
2023-07-30,0,0,0,0,0,0,0,0
2023-07-31,3,2,3,3.06,20,14.68,3,5
2023-08-01,4,4,5,20.83,75.02,60,5,8
2023-08-02,6,6,7,50.01,170,102.87,7,12
2023-08-03,1,2,2,40.5,252.77,291.6,2,3
2023-08-04,9,9,9,15.57,24.91,24.91,9,18
2023-08-05,1,1,1,0.05,0.72,0.72,1,2
2023-08-06,0,0,0,0,0,0,0,0
2023-08-07,2,2,2,9.76,70.26,70.26,2,4
2023-08-08,5,5,5,15.41,44.37,44.37,5,10
2023-08-09,8,8,8,19.47,35.04,35.04,8,16
2023-08-10,3,3,3,0.35,1.69,1.69,3,6
2023-08-11,3,3,3,16.78,80.53,80.53,3,6
2023-08-12,4,4,4,17.71,63.74,63.74,4,8
2023-08-13,2,2,2,1.94,13.93,13.93,2,4
2023-08-14,8,8,8,17.5,31.51,31.51,8,16
2023-08-15,5,5,5,27.21,78.37,78.37,5,10
2023-08-16,1,1,1,0.09,1.28,1.28,1,2
2023-08-17,4,4,4,21.94,78.99,78.99,4,8
2023-08-18,1,1,1,7.07,101.78,101.78,1,2
2023-08-19,3,3,3,0.87,4.18,4.18,3,6
2023-08-20,2,2,2,7.23,52.05,52.05,2,4
2023-08-21,2,2,2,12.59,90.66,90.66,2,4
2023-08-22,5,5,5,15.69,45.19,45.19,5,10
2023-08-23,4,4,4,20.09,72.34,72.34,4,8
2023-08-24,5,5,5,17.02,49.01,49.01,5,10
2023-08-25,5,5,5,27.24,78.44,78.44,5,10
2023-08-26,3,3,3,14.93,71.67,71.67,3,6
2023-08-27,3,3,3,5.17,24.83,24.83,3,6
2023-08-28,8,8,8,15.56,28.01,28.01,8,16
2023-08-29,4,4,4,32.98,118.74,118.74,4,8
2023-08-30,3,3,3,20.36,97.72,97.72,3,6
2023-08-31,4,4,4,4.2,5.98,15.11,4,8
2023-09-01,2,2,2,18.28,131.63,131.63,2,4
2023-09-02,0,0,0,0,0,0,0,0
2023-09-03,1,1,1,0.48,6.88,6.88,1,2
2023-09-04,2,2,2,4.49,32.36,32.36,2,4
2023-09-05,7,7,7,29.81,61.32,61.32,7,14
2023-09-06,10,10,10,20.5,29.53,29.53,10,20
2023-09-07,9,9,9,20.23,32.37,32.37,9,18
2023-09-08,3,3,3,16.65,79.94,79.94,3,6
2023-09-09,6,6,6,35.53,85.28,85.28,6,12
2023-09-10,4,4,4,39.71,142.97,142.97,4,8
2023-09-11,8,8,8,17.71,31.88,31.88,8,16
2023-09-12,6,6,6,21.15,50.77,50.77,6,12
2023-09-13,5,5,5,34.46,99.25,99.25,5,10
2023-09-14,8,8,8,16.31,29.36,29.36,8,16
2023-09-15,3,3,3,19.03,91.37,91.37,3,6
2023-09-16,4,4,4,34.77,125.18,125.18,4,8
2023-09-17,7,7,7,44.17,90.87,90.87,7,14
2023-09-18,7,7,7,17.34,35.67,35.67,7,14
2023-09-19,9,9,9,15.05,24.08,24.08,9,18
2023-09-20,9,9,9,22.93,36.68,36.68,9,18
2023-09-21,6,6,6,17.01,40.82,40.82,6,12
2023-09-22,3,3,3,31.92,153.22,153.22,3,6
2023-09-23,7,7,7,43.67,89.83,89.83,7,14
2023-09-24,8,8,8,45.87,82.57,82.57,8,16
2023-09-25,6,6,6,16.94,40.65,40.65,6,12
2023-09-26,7,7,7,28.32,58.25,58.25,7,14
2023-09-27,9,9,9,19.4,31.04,31.04,9,18
2023-09-28,6,6,6,20.4,48.96,48.96,6,12
2023-09-29,7,7,7,12,24.69,24.69,7,14
2023-09-30,10,10,10,35.84,51.61,51.61,10,20
2023-10-01,6,6,6,32.95,79.08,79.08,6,12
2023-10-02,5,5,5,17.83,51.36,51.36,5,10
2023-10-03,5,5,5,22.53,64.88,64.88,5,10
2023-10-04,8,8,8,15.07,27.12,27.12,8,16
2023-10-05,11,11,11,32.57,42.63,42.63,11,22
2023-10-06,4,4,4,15.33,55.19,55.19,4,8
2023-10-07,3,3,3,28.19,135.33,135.33,3,6
2023-10-08,1,1,1,8.34,120.15,120.15,1,2
2023-10-09,3,3,3,1.65,7.92,7.92,3,6
2023-10-10,7,7,7,19.87,40.88,40.88,7,14
2023-10-11,14,14,14,22.95,23.61,23.61,14,28
2023-10-12,7,7,7,15.42,31.73,31.73,7,14
2023-10-13,5,5,5,21.23,61.14,61.14,5,10
2023-10-14,12,12,12,33.58,40.29,40.29,12,24
2023-10-15,9,9,9,36.62,58.59,58.59,9,18
2023-10-16,7,7,7,24.96,51.35,51.35,7,14
2023-10-17,6,6,6,18.83,45.2,45.2,6,12
2023-10-18,7,7,7,21.29,43.8,43.8,7,14
2023-10-19,8,8,8,17.2,30.96,30.96,8,16
2023-10-20,3,3,3,21.39,102.67,102.67,3,6
2023-10-21,7,7,7,36.57,75.23,75.23,7,14
2023-10-22,9,9,9,51.54,82.46,82.46,9,18
2023-10-23,7,7,7,6.12,12.6,12.6,7,14
2023-10-24,9,9,9,19.35,30.95,30.95,9,18
2023-10-25,10,10,10,18.09,26.06,26.06,10,20
2023-10-26,8,8,8,13.64,24.56,24.56,8,16
2023-10-27,3,3,3,29.34,140.85,140.85,3,6
2023-10-28,6,6,6,36.58,87.8,87.8,6,12
2023-10-29,8,8,8,41,73.8,73.8,8,16
2023-10-30,4,4,4,9.5,34.21,34.21,4,8
2023-10-31,3,3,3,4.07,19.52,19.52,3,6
2023-11-01,9,9,9,19.44,31.1,31.1,9,18
2023-11-02,4,4,4,28.95,104.2,104.2,4,8
2023-11-03,3,3,3,17.99,86.36,86.36,3,6
2023-11-04,6,6,6,30.56,73.35,73.35,6,12
2023-11-05,10,10,10,43.46,65.19,65.19,10,20
2023-11-06,5,5,5,12.76,36.74,36.74,5,10
2023-11-07,9,9,9,15.26,24.41,24.41,9,18
2023-11-08,11,11,11,16.44,21.53,21.53,11,22
2023-11-09,7,7,7,12.75,26.23,26.23,7,14
2023-11-10,7,7,7,15.99,32.9,32.9,7,14
2023-11-11,6,6,6,31.87,76.49,76.49,6,12
2023-11-12,8,8,8,24.97,44.95,44.95,8,16
2023-11-13,8,8,8,26.35,47.42,47.42,8,16
2023-11-14,8,8,8,18.08,32.54,32.54,8,16
2023-11-15,10,10,10,13.44,19.35,19.35,10,20
2023-11-16,6,6,6,15.38,36.9,36.9,6,12
2023-11-17,7,7,7,19.1,39.3,39.3,7,14
2023-11-18,5,5,5,32.03,92.24,92.24,5,10
2023-11-19,6,6,6,54.37,130.5,130.5,6,12
2023-11-20,8,8,8,16.71,30.08,30.08,8,16
2023-11-21,2,2,2,21.45,154.46,154.46,2,4
2023-11-22,8,8,8,15.69,28.23,28.23,8,16
2023-11-23,7,7,7,16.48,33.9,33.9,7,14
2023-11-24,7,7,7,31.48,64.76,64.76,7,14
2023-11-25,8,8,8,29.8,53.65,53.65,8,16
2023-11-26,18,18,18,38.08,30.46,30.46,18,36
2023-11-27,5,5,5,23.69,68.23,68.23,5,10
2023-11-28,5,5,5,17.56,50.56,50.56,5,10
2023-11-29,6,6,6,24.36,58.47,58.47,6,12
2023-11-30,8,8,8,9.83,17.69,17.69,8,16
2023-12-01,7,7,7,25.89,53.27,53.27,7,14
2023-12-02,5,5,5,26.56,76.5,76.5,5,10
2023-12-03,7,7,7,41.89,86.16,86.16,7,14
2023-12-04,8,8,8,10.64,19.16,19.16,8,16
2023-12-05,6,6,6,13.45,32.29,32.29,6,12
2023-12-06,9,9,9,19.71,31.53,31.53,9,18
2023-12-07,6,6,6,13.24,31.79,31.79,6,12
2023-12-08,5,5,5,13.71,39.48,39.48,5,10
2023-12-09,11,11,11,13.88,18.17,18.17,11,22
2023-12-10,6,6,6,29.99,71.98,71.98,6,12
2023-12-11,2,2,2,10.27,73.98,73.98,2,4
2023-12-12,2,2,2,7.38,53.13,53.13,2,4
2023-12-13,8,8,8,12.16,21.88,21.88,8,16
2023-12-14,11,11,11,12.3,16.1,16.1,11,22
2023-12-15,5,5,5,21.12,60.83,60.83,5,10
2023-12-16,8,8,8,34.94,62.88,62.88,8,16
2023-12-17,10,10,10,32.18,46.35,46.35,10,20
2023-12-18,3,3,3,3.58,17.19,17.19,3,6
2023-12-19,2,2,2,5.56,40,40,2,4
2023-12-20,2,2,2,0.47,3.41,3.41,2,4
2023-12-21,2,2,2,3.1,22.33,22.33,2,4
2023-12-22,4,4,4,11.93,42.96,42.96,4,8
2023-12-23,0,0,0,0,0,0,0,0
2023-12-24,1,1,1,0.08,1.13,1.13,1,2
2023-12-25,2,2,2,5.13,36.96,36.96,2,4
2023-12-26,2,2,2,6.81,49.07,49.07,2,4
2023-12-27,1,1,1,0.18,2.58,2.58,1,2
2023-12-28,1,1,1,4.85,69.83,69.83,1,2
2023-12-29,1,1,1,4.63,66.73,66.73,1,2
2023-12-30,2,2,2,7.42,53.39,53.39,2,4
2023-12-31,1,1,1,6.75,97.13,97.13,1,2
2024-01-01,1,1,1,0.04,0.62,0.62,1,2
2024-01-02,4,4,4,5.64,20.29,20.29,4,8
2024-01-03,3,3,3,6.81,32.68,32.68,3,6
2024-01-04,2,2,2,0.15,1.06,1.06,2,4
2024-01-05,4,4,4,18.55,66.79,66.79,4,8
2024-01-06,4,4,4,10.42,37.53,37.53,4,8
2024-01-07,1,1,1,0.06,0.85,0.85,1,2
2024-01-08,6,6,6,15.83,38,38,6,12
2024-01-09,9,9,9,14.93,23.89,23.89,9,18
2024-01-10,14,14,14,14.87,15.29,15.29,14,28
2024-01-11,2,2,2,1.3,9.36,9.36,2,4
2024-01-12,3,3,3,1.3,6.22,6.22,3,6
2024-01-13,0,0,0,0,0,0,0,0
2024-01-15,3,3,3,2.34,11.22,11.22,3,6
2024-01-16,0,0,0,0,0,0,0,0
2024-01-17,0,0,0,0,0,0,0,0
2024-01-18,2,2,2,2.65,19.07,19.07,2,4
2024-01-19,1,1,1,12.04,173.38,173.38,1,2
2024-01-20,1,1,1,6.2,89.25,89.25,1,2
2024-01-21,0,0,0,0,0,0,0,0
2024-01-22,7,7,7,22.76,46.83,46.83,7,14
2024-01-23,6,6,6,23.16,55.57,55.57,6,12
2024-01-24,11,11,11,24.62,32.23,32.23,11,22
2024-01-25,12,12,12,15.13,18.15,18.15,12,24
2024-01-26,5,5,5,23.2,66.83,66.83,5,10
2024-01-27,11,11,11,40.31,52.77,52.77,11,22
2024-01-28,6,6,6,31.29,75.1,75.1,6,12
2024-01-29,11,11,11,18.52,24.24,24.24,11,22
2024-01-30,5,5,5,17.2,49.53,49.53,5,10
2024-01-31,9,9,9,16.6,26.56,26.56,9,18
2024-02-01,15,15,15,23.59,22.64,22.64,15,30
2024-02-02,3,3,3,18.55,89.03,89.03,3,6
2024-02-03,14,14,14,48.78,50.17,50.17,14,28
2024-02-04,9,9,9,52.41,83.86,83.86,9,18
2024-02-05,5,5,5,18.47,53.18,53.18,5,10
2024-02-06,6,6,6,14.62,35.09,35.09,6,12
2024-02-07,16,16,16,18.88,16.99,16.99,16,32
2024-02-08,7,7,7,15.98,32.86,32.86,7,14
2024-02-09,5,5,5,19.36,55.77,55.77,5,10
2024-02-10,12,12,12,52.8,63.36,63.36,12,24
2024-02-11,9,9,9,39.55,63.28,63.28,9,18
2024-02-12,3,3,3,12.65,60.72,60.72,3,6
2024-02-13,4,4,4,27.84,100.23,100.23,4,8
2024-02-14,9,9,9,17.08,27.33,27.33,9,18
2024-02-15,7,7,7,15.12,31.1,31.1,7,14
2024-02-16,3,3,3,9.63,46.22,46.22,3,6
2024-02-17,3,3,3,29.62,142.16,142.16,3,6
