occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
17.55,6.68,3.34,57.29,75.49

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2022-08-12,0,0,0,0,0,0,0,0
2022-08-13,0,0,0,0,0,0,0,0
2022-08-14,0,0,0,0,0,0,0,0
2022-08-15,3,3,3,1.42,0,6.81,3,6
2022-08-16,7,7,7,23.59,0,48.54,7,14
2022-08-17,1,1,1,7.78,0,111.97,1,2
2022-08-18,5,5,5,13.61,0,39.18,5,10
2022-08-19,7,7,7,18.92,0,38.92,7,14
2022-08-20,1,1,1,3.47,0,50.03,1,2
2022-08-21,2,2,2,19.58,0,140.96,2,4
2022-08-22,2,2,2,12.05,0,86.78,2,4
2022-08-23,5,5,5,24.18,0,69.64,5,10
2022-08-24,3,3,3,11.86,0,56.91,3,6
2022-08-25,6,6,6,30.83,0,73.99,6,12
2022-08-26,2,2,2,4.56,0,32.86,2,4
2022-08-27,1,1,1,27.25,0,392.45,1,2
2022-08-28,0,0,0,0,0,0,0,0
2022-08-29,1,1,1,16.26,0,234.15,1,2
2022-08-30,6,6,6,21.46,0,51.51,6,12
2022-08-31,6,6,6,28.06,0,67.34,6,12
2022-09-01,3,3,3,18.02,0,86.48,3,6
2022-09-02,2,2,2,27.23,0,196.03,2,4
2022-09-03,0,0,0,0,0,0,0,0
2022-09-04,2,2,2,8.68,0,62.53,2,4
2022-09-05,0,0,0,0,0,0,0,0
2022-09-06,5,5,5,20.77,0,59.8,5,10
2022-09-07,5,5,5,19.96,0,57.49,5,10
2022-09-08,6,6,6,16.09,0,38.62,6,12
2022-09-09,5,5,5,18.24,0,52.53,5,10
2022-09-10,2,2,2,4.2,0,30.28,2,4
2022-09-11,0,0,0,0,0,0,0,0
2022-09-12,3,3,3,15.06,0,72.3,3,6
2022-09-13,8,8,8,45.78,0,82.4,8,16
2022-09-14,4,4,4,11.11,0,39.99,4,8
2022-09-15,6,6,6,38.39,0,92.13,6,12
2022-09-16,5,5,5,35.95,0,103.55,5,10
2022-09-17,1,1,1,4.68,0,67.42,1,2
2022-09-18,0,0,0,0,0,0,0,0
2022-09-19,2,2,2,21.33,0,153.55,2,4
2022-09-20,5,5,5,17.95,0,51.69,5,10
2022-09-21,3,3,3,11.23,0,53.91,3,6
2022-09-22,3,3,3,13.58,0,54.33,3,6
2022-09-23,3,3,3,27.38,0,131.42,3,6
2022-09-24,0,0,0,0,0,0,0,0
2022-09-25,0,0,0,0,0,0,0,0
2022-09-26,3,3,3,22.69,0,108.93,3,6
2022-09-27,3,3,3,17.92,0,86,3,6
2022-09-28,7,7,7,24.83,0,51.07,7,14
2022-09-29,5,5,5,30.34,0,87.37,5,10
2022-09-30,0,0,0,0,0,0,0,0
2022-10-01,1,1,1,0.16,0,2.27,1,2
2022-10-02,2,2,2,5.09,0,36.63,2,4
2022-10-03,3,3,3,22.72,0,109.08,3,6
2022-10-04,2,2,2,51.57,0,371.33,2,4
2022-10-05,3,3,3,20.72,0,99.46,3,6
2022-10-06,6,6,6,21.22,0,50.94,6,12
2022-10-07,4,4,4,20.94,0,75.4,4,8
2022-10-08,3,3,3,9.47,0,45.43,3,6
2022-10-09,1,1,1,37.91,0,545.9,1,2
2022-10-10,2,2,2,16.89,0,121.63,2,4
2022-10-11,3,3,3,28.79,0,138.17,3,6
2022-10-12,4,4,4,41.07,0,147.86,4,8
2022-10-13,7,7,7,40.15,0,82.59,7,14
2022-10-14,4,4,4,43.59,0,156.93,4,8
2022-10-15,2,2,2,16.43,0,118.3,2,4
2022-10-16,4,4,4,37.55,0,135.18,4,8
2022-10-17,7,7,7,34.22,0,70.4,7,14
2022-10-18,9,9,9,38.06,0,60.89,9,18
2022-10-19,5,5,5,35.08,0,101.03,5,10
2022-10-20,8,8,8,33.18,0,59.73,8,16
2022-10-21,4,4,4,28.14,0,101.3,4,8
2022-10-22,1,1,1,5.98,0,86.07,1,2
2022-10-23,2,2,2,6.75,0,48.59,2,4
2022-10-24,1,1,1,41.18,0,593,1,2
2022-10-25,4,4,4,19.06,0,68.6,4,8
2022-10-26,7,7,7,32.17,0,66.18,7,14
2022-10-27,6,6,6,29.2,0,70.07,6,12
2022-10-28,3,3,3,20.02,0,96.12,3,6
2022-10-29,1,1,1,0.68,0,9.8,1,2
2022-10-30,0,0,0,0,0,0,0,0
2022-10-31,3,3,3,20.3,0,97.43,3,6
2022-11-01,5,5,5,19.47,0,56.06,5,10
2022-11-02,4,4,4,20.73,0,74.64,4,8
2022-11-03,3,3,3,26.91,0,129.15,3,6
2022-11-04,6,6,6,26.3,0,63.12,6,12
2022-11-05,1,1,1,4.49,0,64.65,1,2
2022-11-06,1,1,1,2.11,0,31.7,1,2
2022-11-07,4,4,4,21.97,0,79.1,4,8
2022-11-08,2,2,2,11.66,0,83.93,2,4
2022-11-09,3,3,3,14.29,0,68.61,3,6
2022-11-10,3,3,3,19.22,0,92.28,3,6
2022-11-11,0,0,0,0,0,0,0,0
2022-11-12,0,0,0,0,0,0,0,0
2022-11-13,0,0,0,0,0,0,0,0
2022-11-14,2,2,2,29.38,0,211.56,2,4
2022-11-15,4,4,4,17.85,0,64.27,4,8
2022-11-16,2,2,2,33.63,0,242.14,2,4
2022-11-17,2,2,2,15.92,0,114.63,2,4
2022-11-18,4,4,4,11.28,0,40.59,4,8
2022-11-19,1,1,1,1.54,0,22.13,1,2
2022-11-20,1,1,1,0.08,0,1.1,1,2
2022-11-21,4,4,4,26.48,0,95.33,4,8
2022-11-22,4,4,4,13.61,0,48.99,4,8
2022-11-23,5,5,5,22.04,0,63.47,5,10
2022-11-24,6,6,6,23.44,0,56.25,6,12
2022-11-25,3,3,3,14.19,0,68.11,3,6
2022-11-26,2,2,2,8.13,0,58.54,2,4
2022-11-27,1,1,1,6.03,0,86.78,1,2
2022-11-28,6,6,6,20.72,0,49.74,6,12
2022-11-29,2,2,2,0.97,0,6.97,2,4
2022-11-30,3,3,3,20.93,0,100.48,3,6
2022-12-01,3,3,3,18.22,0,87.45,3,6
2022-12-02,6,6,6,21.35,0,51.24,6,12
2022-12-03,0,0,0,0,0,0,0,0
2022-12-04,0,0,0,0,0,0,0,0
2022-12-05,3,3,3,16.18,0,77.64,3,6
2022-12-06,5,5,5,24.41,0,70.29,5,10
2022-12-07,5,5,5,27.81,0,80.1,5,10
2022-12-08,1,1,1,26.5,0,381.53,1,2
2022-12-09,4,4,4,9.11,0,32.81,4,8
2022-12-10,0,0,0,0,0,0,0,0
2022-12-11,0,0,0,0,0,0,0,0
2022-12-12,3,3,3,12.26,0,58.84,3,6
2022-12-13,4,4,4,26.15,0,94.13,4,8
2022-12-14,5,5,5,33.96,0,97.79,5,10
2022-12-15,2,2,2,14.88,0,107.11,2,4
2022-12-16,2,2,2,32.75,0,235.8,2,4
2022-12-17,0,0,0,0,0,0,0,0
2022-12-18,1,1,1,6.13,0,88.23,1,2
2022-12-19,3,3,3,30.02,0,144.07,3,6
2022-12-20,1,1,1,19.1,0,275.03,1,2
2022-12-21,3,3,3,10.38,0,49.84,3,6
2022-12-22,2,2,2,18.17,0,130.83,2,4
2022-12-23,0,0,0,0,0,0,0,0
2022-12-24,0,0,0,0,0,0,0,0
2022-12-25,0,0,0,0,0,0,0,0
2022-12-26,0,0,0,0,0,0,0,0
2022-12-27,1,1,1,0.37,0,5.35,1,2
2022-12-28,0,0,0,0,0,0,0,0
2022-12-29,1,1,1,10.02,0,144.22,1,2
2022-12-30,3,3,3,9.43,0,45.26,3,6
2022-12-31,0,0,0,0,0,0,0,0
2023-01-01,1,1,1,0.8,11.5,11.5,1,2
2023-01-02,0,0,0,0,0,0,0,0
2023-01-03,2,2,2,20.23,145.67,145.67,2,4
2023-01-04,2,2,2,18.66,134.38,134.38,2,4
2023-01-05,5,5,5,25.32,72.92,72.92,5,10
2023-01-06,3,3,3,11.41,54.77,54.77,3,6
2023-01-07,1,1,1,2.83,40.78,40.78,1,2
2023-01-08,0,0,0,0,0,0,0,0
2023-01-09,4,4,4,22.71,81.77,81.77,4,8
2023-01-10,3,3,3,10.85,52.09,52.09,3,6
2023-01-11,2,2,2,7.29,52.48,52.48,2,4
2023-01-12,4,4,4,33.03,118.92,118.92,4,8
2023-01-13,5,5,5,23.17,66.74,66.74,5,10
2023-01-14,2,2,2,9.02,64.95,64.95,2,4
2023-01-15,1,1,1,7.34,105.67,105.67,1,2
2023-01-16,3,3,3,16.19,77.72,77.72,3,6
2023-01-17,4,4,4,27.44,98.78,98.78,4,8
2023-01-18,2,2,2,20.16,145.13,145.13,2,4
2023-01-19,6,6,6,25.34,60.82,60.82,6,12
2023-01-20,5,5,5,26.67,76.82,76.82,5,10
2023-01-21,0,0,0,0,0,0,0,0
2023-01-22,2,2,2,5.02,36.13,36.13,2,4
2023-01-23,3,3,3,25.05,120.23,120.23,3,6
2023-01-24,7,7,7,16.35,33.63,33.63,7,14
2023-01-25,9,9,9,18.16,29.06,29.06,9,18
2023-01-26,7,7,7,16.24,33.4,33.4,7,14
2023-01-27,3,3,3,15.26,73.26,73.26,3,6
2023-01-28,0,0,0,0,0,0,0,0
2023-01-29,0,0,0,0,0,0,0,0
2023-01-30,7,7,7,21.82,44.89,44.89,7,14
2023-01-31,7,7,7,34.66,71.3,71.3,7,14
2023-02-01,3,3,3,22.19,106.5,106.5,3,6
2023-02-02,5,5,5,30.61,88.15,88.15,5,10
2023-02-03,4,4,4,15.74,56.65,56.65,4,8
2023-02-04,2,2,2,9.42,67.83,67.83,2,4
2023-02-05,3,3,3,15.25,73.19,73.19,3,6
2023-02-06,7,7,7,35.25,72.52,72.52,7,14
2023-02-07,4,4,4,26.79,96.45,96.45,4,8
2023-02-08,6,6,6,19.62,47.08,47.08,6,12
2023-02-09,2,2,2,29.4,211.7,211.7,2,4
2023-02-10,1,1,1,13.48,194.17,194.17,1,2
2023-02-11,2,2,2,15.92,114.62,114.62,2,4
2023-02-12,0,0,0,0,0,0,0,0
2023-02-13,4,4,4,25.09,90.31,90.31,4,8
2023-02-14,6,6,6,22.5,54,54,6,12
