occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
14.13,7.99,4,50.7,50.83

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2023-07-31,0,0,0,0,0,0,0,0
2023-08-01,1,1,1,6.94,99.98,99.98,1,2
2023-08-02,0,0,0,0,0,0,0,0
2023-08-03,6,6,6,21.4,51.37,51.37,6,12
2023-08-04,0,0,0,0,0,0,0,0
2023-08-05,1,1,1,2.13,30.65,30.65,1,2
2023-08-06,1,1,1,7.76,111.8,111.8,1,2
2023-08-07,3,3,3,17.41,83.57,83.57,3,6
2023-08-08,2,2,2,14.2,102.22,102.22,2,4
2023-08-09,4,4,4,16.41,59.08,59.08,4,8
2023-08-10,5,5,5,3.06,8.82,8.82,5,10
2023-08-11,0,0,0,0,0,0,0,0
2023-08-12,4,4,4,13.24,47.65,47.65,4,8
2023-08-13,2,2,2,0.13,0.96,0.96,2,4
2023-08-14,12,12,12,24.57,29.48,29.48,12,24
2023-08-15,3,3,3,16.07,77.14,77.14,3,6
2023-08-16,1,1,1,0.15,2.18,2.18,1,2
2023-08-17,2,2,2,12.82,92.29,92.29,2,4
2023-08-18,1,1,1,6.66,95.92,95.92,1,2
2023-08-19,0,0,0,0,0,0,0,0
2023-08-20,2,2,2,16.13,116.17,116.17,2,4
2023-08-21,8,8,8,24.03,43.25,43.25,8,16
2023-08-22,6,6,6,11.42,27.4,27.4,6,12
2023-08-23,2,2,2,13.34,96.02,96.02,2,4
2023-08-24,5,5,5,18.18,52.37,52.37,5,10
2023-08-25,2,2,2,20.84,150.03,150.03,2,4
2023-08-26,6,6,6,30.98,74.35,74.35,6,12
2023-08-27,6,6,6,8.02,19.24,19.24,6,12
2023-08-28,4,4,4,13.62,49.02,49.02,4,8
2023-08-29,3,3,3,12.19,58.52,58.52,3,6
2023-08-30,3,3,3,15.39,73.86,73.86,3,6
2023-08-31,1,1,1,0.09,1.35,1.35,1,2
2023-09-01,0,0,0,0,0,0,0,0
2023-09-02,0,0,0,0,0,0,0,0
2023-09-03,0,0,0,0,0,0,0,0
2023-09-04,0,0,0,0,0,0,0,0
2023-09-05,9,9,9,15.01,24.02,24.02,9,18
2023-09-06,6,6,6,16.75,40.19,40.19,6,12
2023-09-07,5,5,5,14.29,41.16,41.16,5,10
2023-09-08,2,2,2,12.81,92.27,92.27,2,4
2023-09-09,7,7,7,21.67,44.58,44.58,7,14
2023-09-10,3,3,3,28.67,137.62,137.62,3,6
2023-09-11,5,5,5,11.32,32.61,32.61,5,10
2023-09-12,4,4,4,19.52,70.26,70.26,4,8
2023-09-13,9,9,9,19.38,31.01,31.01,9,18
2023-09-14,7,7,7,12.1,24.89,24.89,7,14
