occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
6.67,4.72,2.36,40.61,40.64

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2023-08-01,5,5,5,11.35,16.34,16.34,5,10
2023-08-02,2,2,2,11.75,84.63,84.63,2,4
2023-08-03,1,1,1,0.1,1.42,1.42,1,2
2023-08-04,3,3,3,5.73,27.49,27.49,3,6
2023-08-05,0,0,0,0,0,0,0,0
2023-08-06,0,0,0,0,0,0,0,0
2023-08-07,3,3,3,9.63,46.24,46.24,3,6
2023-08-08,2,2,2,0.11,0.81,0.81,2,4
2023-08-09,4,4,4,6.47,23.29,23.29,4,8
2023-08-10,1,1,1,0.11,1.57,1.57,1,2
2023-08-11,4,4,4,17.42,62.7,62.7,4,8
2023-08-12,0,0,0,0,0,0,0,0
2023-08-13,5,5,5,1.03,2.97,2.97,5,10
2023-08-14,1,1,1,5.02,72.32,72.32,1,2
2023-08-15,4,4,4,1.42,5.13,5.13,4,8
2023-08-16,2,2,2,0.19,1.36,1.36,2,4
2023-08-17,2,2,2,7.66,55.18,55.18,2,4
2023-08-18,2,2,2,0.13,0.97,0.97,2,4
2023-08-19,0,0,0,0,0,0,0,0
2023-08-20,0,0,0,0,0,0,0,0
2023-08-21,2,2,2,6.72,48.36,48.36,2,4
2023-08-22,3,3,3,4.24,20.33,20.33,3,6
2023-08-23,1,1,1,6.88,99.07,99.07,1,2
2023-08-24,4,4,4,11.17,40.2,40.2,4,8
2023-08-25,2,2,2,9.06,65.23,65.23,2,4
2023-08-26,4,4,4,15.62,56.25,56.25,4,8
2023-08-27,1,1,1,20.95,301.75,301.75,1,2
2023-08-28,1,1,1,5.06,72.8,72.8,1,2
2023-08-29,2,2,2,10.43,75.1,75.1,2,4
2023-08-30,2,2,2,5.07,36.53,36.53,2,4
2023-08-31,5,5,5,1.49,4.28,4.28,5,10
2023-09-01,3,3,3,1.24,5.96,5.96,3,6
2023-09-02,1,1,1,0.99,14.22,14.22,1,2
2023-09-03,0,0,0,0,0,0,0,0
2023-09-04,0,0,0,0,0,0,0,0
2023-09-05,1,1,1,1.01,14.5,14.5,1,2
2023-09-06,5,5,5,10.94,31.52,31.52,5,10
2023-09-07,8,8,8,5.42,9.76,9.76,8,16
2023-09-08,1,1,1,0.2,2.95,2.95,1,2
2023-09-09,5,5,5,3.62,10.44,10.44,5,10
2023-09-10,3,2,3,16.31,79.83,78.28,3,5
2023-09-11,3,4,4,12.06,56.37,43.43,4,7
2023-09-12,9,9,9,22.87,36.6,36.6,9,18
2023-09-13,8,8,8,17.09,30.77,30.77,8,16
2023-09-14,5,5,5,26.56,76.48,76.48,5,10
2023-09-15,3,3,3,29.16,139.99,139.99,3,6
2023-09-16,3,3,3,22.39,107.47,107.47,3,6
2023-09-17,3,3,3,13.37,64.18,64.18,3,6
2023-09-18,4,4,4,8.46,30.46,30.46,4,8
2023-09-19,1,1,1,4.73,68.12,68.12,1,2
2023-09-20,4,4,4,12.52,45.06,45.06,4,8
2023-09-21,4,4,4,7.55,27.18,27.18,4,8
2023-09-22,3,3,3,21.26,102.07,102.07,3,6
2023-09-23,3,3,3,24.1,115.67,115.67,3,6
2023-09-24,4,4,4,21.61,77.8,77.8,4,8
2023-09-25,2,2,2,0.57,4.08,4.08,2,4
2023-09-26,6,6,6,7.54,18.09,18.09,6,12
2023-09-27,7,7,7,10.6,21.81,21.81,7,14
2023-09-28,1,1,1,0.04,0.63,0.63,1,2
2023-09-29,3,3,3,5.06,24.28,24.28,3,6
2023-09-30,5,5,5,11.11,32,32,5,10
2023-10-01,2,2,2,19.02,136.91,136.91,2,4
2023-10-02,3,3,3,1,4.81,4.81,3,6
2023-10-03,2,2,2,5.54,39.9,39.9,2,4
2023-10-04,8,8,8,11.33,20.4,20.4,8,16
2023-10-05,4,4,4,1.32,4.75,4.75,4,8
2023-10-06,1,1,1,0.21,3.05,3.05,1,2
2023-10-07,0,0,0,0,0,0,0,0
2023-10-08,0,0,0,0,0,0,0,0
2023-10-09,2,2,2,5.42,39.03,39.03,2,4
2023-10-10,3,3,3,9.8,47.06,47.06,3,6
2023-10-11,4,4,4,6.2,22.31,22.31,4,8
2023-10-12,1,1,1,0.43,6.17,6.17,1,2
2023-10-13,2,2,2,2.7,19.42,19.42,2,4
2023-10-14,7,7,7,23.63,48.62,48.62,7,14
2023-10-15,3,3,3,19.18,92.06,92.06,3,6
2023-10-16,3,3,3,1.17,5.64,5.64,3,6
2023-10-17,5,5,5,7.73,22.26,22.26,5,10
2023-10-18,7,7,7,20.53,42.23,42.23,7,14
2023-10-19,1,1,1,0.19,2.73,2.73,1,2
2023-10-20,0,0,0,0,0,0,0,0
2023-10-21,2,2,2,22.67,163.23,163.23,2,4
2023-10-22,3,3,3,19.7,94.58,94.58,3,6
2023-10-23,2,2,2,2.5,18,18,2,4
2023-10-24,1,1,1,0.8,11.55,11.55,1,2
2023-10-25,4,4,4,5.68,20.44,20.44,4,8
2023-10-26,5,5,5,2.75,7.91,7.91,5,10
2023-10-27,1,1,1,0.43,6.25,6.25,1,2
