occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
11.51,1.36,0.68,243.27,243.27

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2023-11-09,0,0,0,0,0,0,0,0
2023-11-10,1,1,1,17.12,246.58,246.58,1,2
2023-11-11,0,0,0,0,0,0,0,0
2023-11-12,0,0,0,0,0,0,0,0
2023-11-13,0,0,0,0,0,0,0,0
2023-11-14,2,2,2,26.81,193.07,193.07,2,4
2023-11-15,1,1,1,30.35,437.05,437.05,1,2
2023-11-16,1,1,1,34.52,497.13,497.13,1,2
2023-11-17,1,1,1,17.18,247.35,247.35,1,2
2023-11-18,1,1,1,0.09,1.33,1.33,1,2
2023-11-19,0,0,0,0,0,0,0,0
2023-11-20,1,1,1,29.07,418.55,418.55,1,2
2023-11-21,2,2,2,33.8,243.38,243.38,2,4
2023-11-22,1,1,1,28.22,406.35,406.35,1,2
2023-11-23,1,1,1,28.98,417.3,417.3,1,2
2023-11-24,1,1,1,22.6,325.5,325.5,1,2
2023-11-25,1,1,1,7.37,106.12,106.12,1,2
2023-11-26,0,0,0,0,0,0,0,0
2023-11-27,0,0,0,0,0,0,0,0
2023-11-28,1,1,1,28.77,414.35,414.35,1,2
2023-11-29,0,0,0,0,0,0,0,0
2023-11-30,1,1,1,28.63,412.2,412.2,1,2
2023-12-01,0,0,0,0,0,0,0,0
2023-12-02,0,0,0,0,0,0,0,0
2023-12-03,0,0,0,0,0,0,0,0
2023-12-04,1,1,1,27.37,394.07,394.07,1,2
2023-12-05,2,2,2,33.96,244.49,244.49,2,4
2023-12-06,1,1,1,39.52,569.15,569.15,1,2
2023-12-07,1,1,1,29.08,418.72,418.72,1,2
2023-12-08,1,1,1,26.6,383.1,383.1,1,2
2023-12-09,0,0,0,0,0,0,0,0
2023-12-10,0,0,0,0,0,0,0,0
2023-12-11,1,1,1,27.35,393.9,393.9,1,2
2023-12-12,1,1,1,39.12,563.3,563.3,1,2
2023-12-13,2,2,2,29.8,214.54,214.54,2,4
2023-12-14,1,1,1,20.09,289.27,289.27,1,2
2023-12-15,1,1,1,37.74,543.45,543.45,1,2
2023-12-16,0,0,0,0,0,0,0,0
2023-12-17,0,0,0,0,0,0,0,0
2023-12-18,2,2,2,7.83,56.38,56.38,2,4
2023-12-19,0,0,0,0,0,0,0,0
2023-12-20,0,0,0,0,0,0,0,0
2023-12-21,1,1,1,4.42,63.7,63.7,1,2
