occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
13.59,6.91,3.47,56.48,56.38

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2023-07-31,0,0,0,0,0,0,0,0
2023-08-01,2,1,2,49.33,1396.69,355.21,2,3
2023-08-02,0,0,1,100,0,1440,1,0
2023-08-03,4,5,5,58.93,51.42,169.73,5,9
2023-08-04,2,2,2,29.94,215.58,215.58,2,4
2023-08-05,0,0,0,0,0,0,0,0
2023-08-06,1,1,1,8.6,123.82,123.82,1,2
2023-08-07,3,3,3,9.44,45.31,45.31,3,6
2023-08-08,4,4,4,10.81,38.92,38.92,4,8
2023-08-09,6,6,6,13.15,31.57,31.57,6,12
2023-08-10,3,3,3,4.42,21.23,21.23,3,6
2023-08-11,1,1,1,0.54,7.75,7.75,1,2
2023-08-12,4,4,4,5.52,19.89,19.89,4,8
2023-08-13,0,0,0,0,0,0,0,0
2023-08-14,7,7,7,21.12,43.45,43.45,7,14
2023-08-15,7,7,7,15.18,31.23,31.23,7,14
2023-08-16,4,4,4,5.29,19.03,19.03,4,8
2023-08-17,9,9,9,21.08,33.73,33.73,9,18
2023-08-18,3,3,3,10.31,49.49,49.49,3,6
2023-08-19,0,0,0,0,0,0,0,0
2023-08-20,0,0,0,0,0,0,0,0
2023-08-21,5,5,5,11.22,32.3,32.3,5,10
2023-08-22,8,8,8,11.97,21.55,21.55,8,16
2023-08-23,3,3,3,7.03,33.76,33.76,3,6
2023-08-24,6,6,6,11.69,28.05,28.05,6,12
2023-08-25,3,3,3,15.78,75.73,75.73,3,6
2023-08-26,6,6,6,15.03,36.06,36.06,6,12
2023-08-27,7,7,7,6.57,13.51,13.51,7,14
2023-08-28,7,7,7,13.93,28.65,28.65,7,14
2023-08-29,3,3,3,10.95,52.58,52.58,3,6
2023-08-30,5,5,5,12.74,36.69,36.69,5,10
2023-08-31,2,2,2,2.69,19.34,19.34,2,4
2023-09-01,2,2,2,0.84,6.07,6.07,2,4
2023-09-02,0,0,0,0,0,0,0,0
2023-09-03,1,1,1,1.14,16.38,16.38,1,2
2023-09-04,0,0,0,0,0,0,0,0
2023-09-05,7,7,7,17.26,35.51,35.51,7,14
2023-09-06,3,3,3,9.2,44.16,44.16,3,6
2023-09-07,9,9,9,10.61,16.98,16.98,9,18
2023-09-08,5,5,5,10,28.81,28.81,5,10
2023-09-09,4,4,4,0.33,1.2,1.2,4,8
2023-09-10,6,6,6,24.92,59.81,59.81,6,12
2023-09-11,3,3,3,13.57,65.14,65.14,3,6
2023-09-12,4,4,4,12.63,45.47,45.47,4,8
2023-09-13,5,5,5,22.93,66.04,66.04,5,10
2023-09-14,6,6,6,11.37,27.29,27.29,6,12
2023-09-15,3,3,3,19.2,92.14,92.14,3,6
2023-09-16,8,8,8,32.85,59.14,59.14,8,16
2023-09-17,5,5,5,26.68,76.83,76.83,5,10
2023-09-18,4,4,4,14.01,50.44,50.44,4,8
2023-09-19,4,4,4,7.74,27.88,27.88,4,8
2023-09-20,6,6,6,14.45,34.68,34.68,6,12
2023-09-21,5,5,5,25.45,73.28,73.28,5,10
2023-09-22,3,3,3,27.48,131.91,131.91,3,6
2023-09-23,5,5,5,30.34,87.39,87.39,5,10
