occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
18.17,11.07,5.53,47.18,47.19

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2023-07-28,0,0,0,0,0,0,0,0
2023-07-29,0,0,0,0,0,0,0,0
2023-07-30,0,0,0,0,0,0,0,0
2023-07-31,0,0,0,0,0,0,0,0
2023-08-01,0,0,0,0,0,0,0,0
2023-08-02,0,0,0,0,0,0,0,0
2023-08-03,0,0,0,0,0,0,0,0
2023-08-04,5,5,5,9.24,26.6,26.6,5,10
2023-08-05,2,2,2,0.34,2.46,2.46,2,4
2023-08-06,1,1,1,4.72,68.03,68.03,1,2
2023-08-07,2,2,2,6.8,48.98,48.98,2,4
2023-08-08,4,4,4,27.51,99.02,99.02,4,8
2023-08-09,4,4,4,12.82,46.14,46.14,4,8
2023-08-10,1,1,1,0.1,1.47,1.47,1,2
2023-08-11,4,4,4,10.42,37.51,37.51,4,8
2023-08-12,1,1,1,10.36,149.22,149.22,1,2
2023-08-13,6,6,6,9.32,22.37,22.37,6,12
2023-08-14,4,4,4,30.94,111.38,111.38,4,8
2023-08-15,6,6,6,16.09,38.61,38.61,6,12
2023-08-16,2,2,2,0.9,6.48,6.48,2,4
2023-08-17,3,3,3,16.8,80.66,80.66,3,6
2023-08-18,1,1,1,17.21,247.88,247.88,1,2
2023-08-19,2,2,2,7.79,56.08,56.08,2,4
2023-08-20,1,1,1,0.13,1.82,1.82,1,2
2023-08-21,3,3,3,13.57,65.14,65.14,3,6
2023-08-22,5,5,5,10.34,29.78,29.78,5,10
2023-08-23,4,4,4,11.86,42.68,42.68,4,8
2023-08-24,6,6,6,35.59,85.42,85.42,6,12
2023-08-25,1,1,1,11.7,168.52,168.52,1,2
2023-08-26,3,3,3,17.18,82.44,82.44,3,6
2023-08-27,5,5,5,6.51,18.74,18.74,5,10
2023-08-28,7,7,7,19.13,39.35,39.35,7,14
