occupancy_percentage,daily_state_change,daily_parking_turnover,avg_session_time,avg_dwell_time
21.14,9.95,4.98,60.86,60.96

index,car_in,car_out,car_count,occupancy_percentage,session_time,dwell_time,parking_turnover,state_change
2023-07-28,0,0,0,0,0,0,0,0
2023-07-29,0,0,0,0,0,0,0,0
2023-07-30,0,0,0,0,0,0,0,0
2023-07-31,0,0,0,0,0,0,0,0
2023-08-01,0,0,0,0,0,0,0,0
2023-08-02,0,0,0,0,0,0,0,0
2023-08-03,2,1,2,51.15,616.95,368.31,2,3
2023-08-04,14,15,15,52.19,18.16,50.1,15,29
2023-08-05,0,0,0,0,0,0,0,0
2023-08-06,0,0,0,0,0,0,0,0
2023-08-07,0,0,0,0,0,0,0,0
2023-08-08,16,16,16,27.63,24.87,24.87,16,32
2023-08-09,4,4,4,15.43,55.55,55.55,4,8
2023-08-10,5,5,5,1.93,5.55,5.55,5,10
2023-08-11,4,4,4,0.86,3.1,3.1,4,8
2023-08-12,1,1,1,0.69,9.87,9.87,1,2
2023-08-13,0,0,0,0,0,0,0,0
2023-08-14,6,6,6,22.19,53.27,53.27,6,12
2023-08-15,3,3,3,30.03,135.43,144.14,3,6
2023-08-16,5,5,5,3.34,9.63,9.63,5,10
2023-08-17,7,7,7,8.16,16.79,16.79,7,14
2023-08-18,0,0,0,0,0,0,0,0
2023-08-19,2,2,2,11.37,81.86,81.86,2,4
2023-08-20,0,0,0,0,0,0,0,0
2023-08-21,6,6,6,15.83,37.99,37.99,6,12
2023-08-22,8,8,8,13.64,24.55,24.55,8,16
2023-08-23,10,10,10,13.34,19.22,19.22,10,20
2023-08-24,9,9,9,53.87,86.2,86.2,9,18
2023-08-25,9,9,9,10.32,16.51,16.51,9,18
2023-08-26,6,6,6,22.66,54.38,54.38,6,12
2023-08-27,2,2,2,7.36,53.01,53.01,2,4
2023-08-28,15,15,15,39.28,37.71,37.71,15,30
2023-08-29,5,5,5,34.38,99.02,99.02,5,10
