model,parkade,MAE,MSE,RMSE,R2
Baseline,North,0.029645048605158816,0.0043808831422977226,0.035854187637258415,-0.13418820754799687
Baseline,West,0.0336778060794999,0.006081730968639526,0.04506950725328755,-0.1760183709246088
Baseline,Rose,0.030980483944710473,0.006399363481148985,0.036683460068288584,-0.1543535452263579
Baseline,Health Sciences,-0.01695392149382416,0.004896400842443164,0.03638522777267295,-0.08895308943318281
Baseline,Fraser,0.03720698606039302,0.0063834235384744595,0.04846199260813103,-0.20084034930397898
Baseline,Thunderbird,0.03095396486759756,0.009398375742871369,0.05079126219991477,-0.2266969707595683
Baseline,University Lot Blvd,0.04281426539060739,0.011632202820978151,0.05310501251238864,-0.4683297528752002
