Metric,Fraser,Health Sciences,North,Rose,Thunderbird,University Lot Blvd,West
MAE,0.0204840484223656,0.0215348298201488,0.0227211130110028,0.0319953524865163,0.0272438931495383,0.0463570309056889,0.0219534439205001
MSE,0.0017329771273995,0.0024101215902009,0.0018633047977084,0.0047447595808442,0.0045056282182426,0.006883711530873795,0.0020192306052979
RMSE,0.0416290418746276,0.0490929892163935,0.0431660143829436,0.0688822152724797,0.0671239764781758,0.08296813563575955,0.0449358498895696
R2,0.946540349303979,0.9562530894331828,0.9409882075479968,0.8873535452263579,0.8904969707595682,0.7283297528752002,0.9411183709246088
