model,parkade,MAE,MSE,RMSE,R2
Baseline,North,51.79642942572446,6119.92238295308,78.15115174751564,0.003696977321737238
Baseline,West,68.50069506332076,12295.82916053235,110.8177562083481,-0.09669509393742637
Baseline,Rose,50.771730512677365,7257.59088828021,85.1014349135895,-0.07441774985512783
Baseline,Health Sciences,5.409988119775961,10329.378815424881,101.5602203357972,-0.034962804039515794
Baseline,Fraser,41.775144053357444,4266.176874867368,65.23710049028786,-0.06226433442477852
Baseline,Thunderbird,95.0476965976554,37123.06663690168,192.56321356238942,-0.04059280682609023
Baseline,University Lot Blvd,19.19161589016236,863.865396580565,29.277329831680568,-0.22286484984999078
