Metric,Fraser,Health Sciences,North,Rose,Thunderbird,University Lot Blvd,West
MAE,0.0476217228466756,0.0379126320983851,0.0345732489166614,0.0533720720873504,0.0519116396390092,0.06507736055394492,0.0371892199993078
MSE,0.0064082553106753,0.0053674446634823,0.0049139415490155,0.0104225954491142,0.0135985943193103,0.011224338517648846,0.0049922990100668
RMSE,0.0800515790642219,0.0732628464058168,0.0700995117601795,0.1020911134678932,0.1166130109349309,0.10594497872787009,0.0706562029128855
R2,0.802315284452885,0.902573744569408,0.8443730198256346,0.752554706539269,0.6695050724897612,0.5570240261774886,0.8544224231878521
