date,index,Actual,North,West,Rose,Health Sciences,Fraser,Thunderbird,University Lot Blvd
2023-02-05 03:00:00,0,7,2.0136132524994865,,2.8002466392052816,13.552280872425658,71.92149434105667,0.0,
2023-02-05 04:00:00,1,5,10.662814245381488,21.3141173242308,2.7909852324230098,12.931251499293651,72.15946264654221,0.0,
2023-02-05 05:00:00,2,4,9.902984139216972,21.571462991370105,2.7909852324230098,13.115905959124571,72.15946264654221,0.0,
2023-02-05 06:00:00,3,4,8.741112913999089,23.495595753655447,0.8703752382645253,23.80426373428991,71.8261899081808,5.660589144993585,
2023-02-05 07:00:00,4,2,18.39069214571923,34.90092257884095,0.8747907652154714,60.45261503075633,71.56050647982367,7.742149200639723,
2023-02-05 08:00:00,5,5,25.16791409637955,38.7302675712866,2.055624256546122,61.0852123994901,69.30430555833071,33.163989846928125,
2023-02-05 09:00:00,6,22,38.69120760370956,50.28464935460609,7.961580807392113,68.23451034801435,71.19814514704571,92.05071986406472,
2023-02-05 10:00:00,7,38,50.775134811567554,61.98504064743446,19.52816195663242,80.21550828783882,72.22643020018411,122.22229055123348,
2023-02-05 11:00:00,8,47,50.14439138073514,69.71600843455953,27.8593456305716,95.5401650205756,75.42063477817223,133.03309028195514,
2023-02-05 12:00:00,9,53,51.105922756712765,65.46633005353802,36.802181132561685,102.5878692262342,76.87997933983361,131.92744163283567,
2023-02-05 13:00:00,10,57,54.67185410050898,66.14436632852347,44.44708009885352,114.96990149574825,73.71632578740642,137.11087903686098,
2023-02-05 14:00:00,11,65,67.91228717163014,67.86053781055075,50.19620489117174,114.07259719483775,75.27075331863873,123.8288499334356,
2023-02-05 15:00:00,12,87,69.03151880353096,60.07593449235878,70.00875330832378,115.57848261386894,77.36469028205326,134.65456204188817,
2023-02-05 16:00:00,13,88,91.11879098730093,64.30205936962318,71.98559487556102,100.2807662414926,84.10011754849849,133.68455484423214,
2023-02-05 17:00:00,14,77,60.24232390315097,51.39107192277091,42.68471440078262,91.72640983566008,67.09027507621533,119.30813574921775,
2023-02-05 18:00:00,15,47,40.37993486352107,41.54667192304749,35.53091845114382,83.38915369829247,62.40890354400845,141.72489635965692,
2023-02-05 19:00:00,16,24,10.311877278406394,30.23277092105385,32.106074989040096,86.650149612033,65.1462559938042,134.8906192648083,
2023-02-05 20:00:00,17,5,9.793603758996888,23.742040552634208,37.73264306463646,75.77153038250292,66.34544027142178,128.0218339847278,
2023-02-05 21:00:00,18,3,14.721214157242237,22.08046850908419,18.7870119317962,69.65952589965633,68.61938403578675,127.20061453542452,
2023-02-05 22:00:00,19,6,0.6690817704453575,17.324928687255003,19.59261391492846,54.94834167820704,71.34525708054122,98.67711365571252,
2023-02-05 23:00:00,20,0,2.9070073075010607,25.70882429177543,3.73437366472182,49.35314130209494,70.85834747321819,58.56448841744394,
2023-02-06 00:00:00,21,0,2.790827751133131,33.257258615720794,2.2547682787902668,23.728684222090177,67.04368818540614,36.49788136728948,
2023-02-06 01:00:00,22,1,1.991203167470788,33.97615384582272,1.2785368716133392,23.08705171077819,66.79433164296039,32.74043173866688,
2023-02-06 02:00:00,23,3,4.31840629617855,30.886925059199463,1.2300237278460786,23.22640472880541,66.06869574187472,27.64051110514208,
2023-02-06 03:00:00,24,0,0.1269625251134261,0.0,0.6420803858284991,23.945215161485976,64.97542763907248,0.4134367925893929,
2023-02-06 04:00:00,25,2,0.1663580360929295,2.1868809876454605,0.6420803858284991,0.0,0.5783469197324296,0.719681359358282,
2023-02-06 05:00:00,26,2,1.011576939231288,1.264028466471499,0.6420803858284991,0.0,0.7319258041478123,2.135463707181404,
2023-02-06 06:00:00,27,17,13.500824333088458,13.844823431859073,1.3121263328123862,6.570709077615467,2.4915908017247297,11.57803451983,
2023-02-06 07:00:00,28,69,54.58042612896455,94.5397784704072,6.0605184345609295,115.68407912049132,9.180607839142167,64.70622080673732,
2023-02-06 08:00:00,29,113,136.6139646782028,208.54340811622689,62.18795172557116,318.21656492382726,65.87826626900637,306.74192868647793,
2023-02-06 09:00:00,30,239,255.3927600936616,456.5512650992078,236.30731031821048,553.138348210247,183.0415793000461,597.6685507986886,
2023-02-06 10:00:00,31,394,376.1481597809295,622.2859498278859,411.8776155194347,707.4387688722472,323.1034111217525,807.348847871137,
2023-02-06 11:00:00,32,462,427.1734422670328,646.3743880603791,517.489263290819,754.0663832360228,398.4929308698444,884.8458924623017,
2023-02-06 12:00:00,33,483,429.4346183927241,688.0842707998627,529.3002384939687,757.1245066489649,413.86476046189387,933.8031955901688,
2023-02-06 13:00:00,34,485,462.4962852604652,735.0717198242826,534.1835223301025,753.8272489149506,466.1521469685002,1023.805282994117,
2023-02-06 14:00:00,35,480,462.1911908723969,730.2696469529051,563.5156743847575,760.8008049024822,466.1127355275826,1015.6006048724424,
2023-02-06 15:00:00,36,410,394.8572855824548,671.3065768147069,527.6688455113733,736.0886033863198,409.0728788638203,887.3693329135516,
2023-02-06 16:00:00,37,288,282.212248581712,551.512411122662,414.1834453644538,612.6733927907686,360.2447326207441,764.3868379168521,
2023-02-06 17:00:00,38,126,109.37291243905835,380.58821737079967,283.3996382557247,348.58923324736566,205.9058995646692,578.9720180425145,
2023-02-06 18:00:00,39,0,24.233584417531667,267.4389876920192,195.1760073933464,206.1508172783872,148.84598279910077,377.0205002583436,
2023-02-06 19:00:00,40,0,3.237738791112786,195.9761970995136,150.21626549486228,120.89177783456726,95.80011445585892,281.2781002711708,
