name,value
2024-08-01 23:00:00,183.78628042691423
2024-08-02 00:00:00,158.8594238775051
2024-08-02 01:00:00,161.30112787391505
2024-08-02 02:00:00,162.25570048428688
2024-08-02 03:00:00,131.05501042352304
2024-08-02 04:00:00,109.12577988477345
2024-08-02 05:00:00,102.36434905888015
2024-08-02 06:00:00,78.50473655718733
2024-08-02 07:00:00,111.49825724616548
2024-08-02 08:00:00,131.35511609444174
2024-08-02 09:00:00,153.42148656131386
2024-08-02 10:00:00,175.89497031555797
2024-08-02 11:00:00,176.98740171813998
2024-08-02 12:00:00,176.9644610476323
2024-08-02 13:00:00,174.37625971030297
2024-08-02 14:00:00,176.40749469665477
2024-08-02 15:00:00,200.14971726428553
2024-08-02 16:00:00,190.74783161655756
2024-08-02 17:00:00,189.45948589656697
2024-08-02 18:00:00,247.91249668345375
2024-08-02 19:00:00,230.01150957922252
2024-08-02 20:00:00,204.2402941080209
2024-08-02 21:00:00,214.27912235286462
2024-08-02 22:00:00,215.31445807866513
2024-08-02 23:00:00,35.494520772760566
2024-08-03 00:00:00,33.0074751289374
2024-08-03 01:00:00,35.724381870455
2024-08-03 02:00:00,35.37395922331638
2024-08-03 03:00:00,35.37395922331638
2024-08-03 04:00:00,35.37395922331638
2024-08-03 05:00:00,33.814091238810185
2024-08-03 06:00:00,35.308442191004254
2024-08-03 07:00:00,53.57745391193598
2024-08-03 08:00:00,53.57745391193598
2024-08-03 09:00:00,58.34022697617262
2024-08-03 10:00:00,77.58292730706613
2024-08-03 11:00:00,82.88549363170088
2024-08-03 12:00:00,81.10366765820822
2024-08-03 13:00:00,82.12660452235627
2024-08-03 14:00:00,78.4712460218494
2024-08-03 15:00:00,69.3679748917163
2024-08-03 16:00:00,68.42477413045737
2024-08-03 17:00:00,66.17016967551501
2024-08-03 18:00:00,53.619997506409455
2024-08-03 19:00:00,39.69251578102655
2024-08-03 20:00:00,34.20438430548425
2024-08-03 21:00:00,35.448044362493754
2024-08-03 22:00:00,38.596685870697534
2024-08-03 23:00:00,38.073441859243054
2024-08-04 00:00:00,33.02504188690141
2024-08-04 01:00:00,35.74194862841901
2024-08-04 02:00:00,35.391525981280395
2024-08-04 03:00:00,35.391525981280395
2024-08-04 04:00:00,35.391525981280395
2024-08-04 05:00:00,34.41806764150586
2024-08-04 06:00:00,36.073310849386644
2024-08-04 07:00:00,53.39248134557536
2024-08-04 08:00:00,53.39248134557536
2024-08-04 09:00:00,57.98863406961315
2024-08-04 10:00:00,73.27933279033752
2024-08-04 11:00:00,77.6736252500398
2024-08-04 12:00:00,75.64885651534954
2024-08-04 13:00:00,76.7553462068251
2024-08-04 14:00:00,74.51834342484864
2024-08-04 15:00:00,66.40689695824301
2024-08-04 16:00:00,67.7438316471931
2024-08-04 17:00:00,65.65584753244957
2024-08-04 18:00:00,54.46841899211935
2024-08-04 19:00:00,40.737585493127675
2024-08-04 20:00:00,33.976223064159235
2024-08-04 21:00:00,35.21988312116874
2024-08-04 22:00:00,38.36852462937252
2024-08-04 23:00:00,37.84528061791804
2024-08-05 00:00:00,29.515400554213198
2024-08-05 01:00:00,31.409779959964165
2024-08-05 02:00:00,31.05935731282555
2024-08-05 03:00:00,30.008924857022276
2024-08-05 04:00:00,30.008924857022276
2024-08-05 05:00:00,29.249668528672462
2024-08-05 06:00:00,40.291730101287506
2024-08-05 07:00:00,100.53801815112924
2024-08-05 08:00:00,122.01452440112918
2024-08-05 09:00:00,147.61029316312116
2024-08-05 10:00:00,220.06970085108284
2024-08-05 11:00:00,224.41576301137374
2024-08-05 12:00:00,222.9814268318249
2024-08-05 13:00:00,224.0879165233004
2024-08-05 14:00:00,220.96322957433307
2024-08-05 15:00:00,178.62921000958463
2024-08-05 16:00:00,146.17149363173039
2024-08-05 17:00:00,106.18629612397675
2024-08-05 18:00:00,78.52429617422514
2024-08-05 19:00:00,50.952494980049124
2024-08-05 20:00:00,35.84449681268429
2024-08-05 21:00:00,30.68053740564823
2024-08-05 22:00:00,30.382103064356347
2024-08-05 23:00:00,29.858859052901856
2024-08-06 00:00:00,25.45199568910738
2024-08-06 01:00:00,26.222981657231816
2024-08-06 02:00:00,25.87255901009321
2024-08-06 03:00:00,37.058352026604
2024-08-06 04:00:00,23.588515621593974
2024-08-06 05:00:00,8.84519076916032
2024-08-06 06:00:00,14.13177737771082
2024-08-06 07:00:00,57.002078231845374
2024-08-06 08:00:00,108.25965686003683
2024-08-06 09:00:00,177.585775547691
2024-08-06 10:00:00,200.803647138214
2024-08-06 11:00:00,215.13413325295053
2024-08-06 12:00:00,215.6478313362577
2024-08-06 13:00:00,231.17598951003652
2024-08-06 14:00:00,279.81999970588276
2024-08-06 15:00:00,178.28810109939465
2024-08-06 16:00:00,195.56384148167078
2024-08-06 17:00:00,233.45921821389302
2024-08-06 18:00:00,246.80796315274588
2024-08-06 19:00:00,179.27401239616185
2024-08-06 20:00:00,148.6543068338148
2024-08-06 21:00:00,148.5972015186661
2024-08-06 22:00:00,148.47494952833864
2024-08-06 23:00:00,141.01606682712412
2024-08-07 00:00:00,74.09950525144203
2024-08-07 01:00:00,38.75217915066832
2024-08-07 02:00:00,40.90054108515637
2024-08-07 03:00:00,39.71815351279731
2024-08-07 04:00:00,28.95760770276063
2024-08-07 05:00:00,21.20135399465669
2024-08-07 06:00:00,17.86452871047231
2024-08-07 07:00:00,54.53266875815685
2024-08-07 08:00:00,114.49034840226302
2024-08-07 09:00:00,175.40168189474971
2024-08-07 10:00:00,217.6222304776979
2024-08-07 11:00:00,230.5719084845331
