,Actual,Predicted
0,14,7.8821924945267074
1,16,10.431661784166513
2,22,19.84872495981026
3,30,36.171080226903605
4,29,52.94818750086478
5,37,65.92838614516211
6,58,81.15016092912839
7,138,105.9190504728364
8,138,109.89980566869251
9,51,86.24569945390694
10,41,63.049115348251064
11,38,63.79956232092117
12,31,77.61972328838385
13,24,56.463442628247954
14,19,37.441681091307466
15,17,7.9713337513245275
16,17,0.6169782333279694
17,18,5.189096611958776
18,18,0.0
19,0,0.0
20,0,0.0
21,0,0.0
22,0,0.0
23,7,0.0
24,50,35.81264167033781
25,174,167.41623254130315
26,347,321.79923581365176
27,422,416.8485061029573
28,449,459.31406202891674
29,476,478.39158007004806
30,499,467.95886044760016
31,454,428.07289263300436
32,370,364.35268256392163
33,244,245.02133866131803
34,165,144.37785731238677
35,99,73.8522840320468
36,56,39.709015256489124
37,26,8.573116992017448
38,3,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,1,0.0
44,1,0.0
45,1,0.0
46,2,0.0
47,11,0.0
48,59,40.11778386701971
49,186,185.5805663668404
50,427,356.91905786975883
51,561,466.40000886918375
52,594,521.8028112613209
53,586,555.8207433366833
54,614,561.4583301546039
55,581,532.8331150367513
56,488,470.89222873424995
57,373,346.04565839850113
58,229,239.45732087899066
59,167,166.26597448993056
60,101,128.7686293099071
61,49,86.26846831713996
62,20,45.344742768418214
63,9,11.029717421103491
64,6,0.0
65,5,0.0
66,4,0.0
67,4,0.0
68,4,0.0
69,4,0.0
70,5,0.0
71,10,0.9307513327401096
72,56,66.54613439375703
73,225,213.69235876268587
74,426,380.65304007946673
75,521,481.3212882162528
76,537,525.3795825358178
77,558,546.5004973264129
78,563,539.5549402644676
79,533,502.7713337770705
80,422,441.00228859765497
81,289,323.8815213970241
82,204,226.1205082161505
83,129,155.80366854177035
84,72,114.39170255104388
85,37,67.88652706061188
86,18,30.779638880185047
87,10,9.245059747010853
88,8,8.643083809065965
89,3,8.239583300964949
90,3,10.40906080275683
91,2,6.827491541935227
92,2,9.464717448860538
93,1,8.324878164115612
94,1,5.413400135065594
95,12,15.437219565661787
96,54,73.42934096900619
97,186,213.24234933715127
98,403,377.4369175334299
99,494,480.05192847717143
100,516,528.570217153082
101,521,556.0075729044709
102,569,558.6951158567415
103,562,534.8075914556248
104,454,484.6423961060571
105,340,371.1148818212728
106,243,266.21438698176644
107,156,182.73763320391993
108,100,130.7276430755715
109,52,81.1883252765478
110,24,46.14634171065507
111,14,25.29860961674235
112,12,20.401543176565852
113,10,13.12279746772611
114,9,10.942053498657767
115,7,7.872486322332883
116,7,13.737393422253852
117,7,14.92220621659981
118,8,11.72005979011912
119,18,18.870782761523508
120,49,70.67593135491784
121,169,198.84236970422742
122,298,344.89010324651457
123,376,425.0298031649561
124,391,450.16122143152177
125,422,453.80897707451675
126,429,429.68964256509105
127,364,376.50024073592925
128,284,304.8225904188919
129,182,195.04384052894937
130,121,130.30954410918142
131,121,114.65133675799007
132,166,130.06157223053185
133,151,117.94072655375044
134,36,80.26591784641388
135,18,32.203131342814814
136,8,23.391031549482612
137,9,17.854998287636235
138,9,19.404910125464713
139,8,22.628630337535128
140,8,23.144757874383203
141,8,20.408264327452496
142,8,17.425831830473882
143,8,18.58980822611539
144,7,25.0201633685028
145,12,37.28984278031082
146,22,49.957864024794645
147,29,62.21401675939957
148,34,73.5383116966322
149,47,83.7697404817701
150,69,95.33002398765075
151,64,109.50863267630456
152,81,98.89072813420992
153,63,71.66481738816593
154,63,71.02377348324191
155,114,118.25714065264754
156,152,178.5897274927239
157,126,174.4012511210729
158,34,131.22509851433074
159,14,52.64797035521804
160,11,23.288691322399114
161,11,20.59066462929676
162,11,20.392269578342205
163,11,18.137594575816372
164,10,16.223890558556363
165,9,17.683086770083435
166,8,20.775576052636456
167,8,21.87727466386875
168,10,20.12357757350015
169,9,22.701849173840305
170,13,32.14744708887408
171,14,48.4980681482234
172,19,65.30317093114579
173,32,78.31109342354361
174,102,93.56031906467946
175,289,118.35638512852718
176,303,122.36404115560671
177,289,98.73655873873888
178,44,75.56632005714366
179,45,76.34283275776527
180,44,90.1887784062004
181,33,69.05800006695446
182,22,50.06145714461131
183,14,20.616043423303022
184,12,13.286335147833462
185,13,17.882813145245645
186,11,11.385650865775776
187,0,0.0
188,0,0.0
189,0,0.0
190,3,0.0
191,11,0.0
192,48,48.66871109869178
193,165,180.29431333910227
194,320,334.6990285943827
195,429,429.7697102304922
196,462,472.2563755740516
197,490,491.35469986198393
198,506,480.9424820400781
199,471,441.0767102984994
200,386,377.37638932532826
201,260,258.06462626982693
202,166,157.44041630874364
203,123,86.93380363912048
204,83,52.809183542707295
205,54,21.69162070125261
206,33,2.063241779526004
207,17,0.0
208,14,0.0
209,14,0.0
210,13,0.0
211,13,0.0
212,13,0.0
213,13,0.0
214,13,0.0
215,22,0.0
216,67,53.41695558481919
217,203,198.89422007212823
218,420,370.24686465637114
219,508,479.7416386847992
220,533,535.1579329485411
221,528,569.1890245072277
222,587,574.8394372874143
223,553,546.2267134781534
224,487,484.29798269673705
225,366,359.4632309338029
226,254,252.88637392542174
227,158,179.70616883159633
228,99,142.2196246749857
229,57,99.72992330623538
230,48,58.816314848194175
231,35,24.511062971430842
232,32,9.283318543911601
233,30,1.0894675012118604
234,30,4.560933523690236
235,29,5.93026484049517
236,28,10.36680150049385
237,28,6.649131586583823
238,31,1.5165170323007904
239,34,14.477784744826428
240,77,80.09980038414521
241,244,227.25230302805727
242,422,394.21890741243163
243,516,494.8927222499536
244,555,538.9562260206395
245,590,560.0819919219059
246,588,553.1409266772059
247,563,516.3614517008284
248,481,454.5961767457303
249,325,337.4788175226571
250,231,239.72084910192618
251,165,169.40668994459654
252,107,127.99703934525463
253,70,81.49381314987009
254,44,44.38850725957712
255,32,22.855142382233073
256,25,22.254011848564083
257,25,21.85098693781631
258,25,24.020569315534
259,25,20.438733302147583
260,24,23.075319975247265
261,24,21.934468035603704
262,27,19.021603052765023
263,34,29.04366040653047
264,78,87.03364373284761
265,202,226.84413719295827
266,405,391.0358127096257
267,493,493.64755250353517
268,522,542.1621905997631
269,511,569.5955156100055
270,550,572.2786468370862
271,535,548.3863288785105
272,443,498.2159574031906
273,362,384.6828835856543
274,269,279.7764450869908
275,230,196.2933626716633
276,179,144.2766583011942
277,129,94.73023971991108
278,57,59.68076827049278
279,41,38.825160353813246
280,35,33.91982945312473
281,35,26.632429919876078
282,33,24.442642084207133
283,32,21.363640290909192
284,32,27.218721328011608
285,32,28.393315952274467
286,34,25.18055851339016
287,40,32.3202771116869
288,73,84.11402716178574
289,183,212.26867229250647
290,308,358.3042171491569
291,372,438.4313324885764
292,396,463.54976953438756
293,420,467.18414675885595
294,415,443.0510360247289
295,344,389.8474596008688
296,266,318.1552357106312
297,166,208.3615127520352
298,134,143.61184315655072
299,104,127.93786208373035
300,79,143.33192258894144
301,64,131.1945003440493
302,56,93.50271285880237
303,48,45.42254489087388
304,45,36.59266044694183
305,43,31.03843887395842
306,43,32.56975825522924
307,43,35.77448141591222
308,40,36.27120683973952
309,40,33.51490569357075
310,40,30.512259667499563
311,44,31.655616183109082
312,51,38.06494468563003
313,57,50.313190303512535
314,64,62.959370214146595
315,72,75.193273680956
316,78,86.49491104801434
317,85,96.70327362500473
318,93,108.24008192573223
319,98,122.39480606992883
320,99,111.75260732644003
321,93,84.50199241246227
322,79,83.83583405785195
323,64,131.04367621439275
324,54,191.35032719435296
325,46,187.13550384251033
326,42,143.93259287350642
327,34,65.32829473070178
328,33,35.94143386423717
329,31,33.21541324231412
330,32,32.9886119586696
331,31,30.705118224658968
332,31,28.76218277269774
333,31,30.19173467523948
334,31,33.25416660402048
335,32,34.3253946567669
336,33,32.54081366088207
337,34,35.08778787699228
338,38,44.501674789107234
339,48,60.82017113375743
340,55,77.59273537809672
341,71,90.5677054315499
342,82,105.78356463568952
343,234,130.54585022362753
344,238,134.51931166196016
345,214,110.85722051697857
346,69,87.6519589295998
347,57,88.39303452340826
348,52,102.20312887950539
349,45,81.03608503480574
350,44,62.00286243927516
351,41,32.520354881274606
352,38,25.153138686641284
353,36,29.71169467453938
354,36,23.176196413061056
355,0,2.8702145832898096
356,0,0.0
357,0,0.0
358,2,0.0
359,7,4.03035244516542
360,46,60.22055207773806
361,158,191.80492317023777
362,303,346.1679943027652
363,409,441.1966189320605
364,432,483.64081459395624
365,455,502.6962567216343
366,479,492.24074444962025
367,455,452.33126622142
368,345,388.58682694507763
369,235,269.23053402193017
370,158,168.56138285892058
371,104,98.00941801928326
372,67,63.83903490171723
373,46,32.67529865945546
374,27,13.000336149081814
375,17,2.697938501978092
376,14,3.753187526882862
377,14,0.0
378,14,0.0
379,14,0.0
380,13,3.9571758064191997
381,13,3.179064776446794
382,15,0.0
383,21,4.440548728358163
384,66,63.865733048520326
385,193,209.29192628363614
386,377,380.5930941786931
387,474,490.035986494685
388,510,545.3999945477435
389,549,579.3783958786278
390,598,584.9757149334046
391,565,556.3094944115435
392,461,494.32686445879216
393,337,369.4378116477908
394,240,262.8062521894728
395,149,189.5709439320513
396,79,152.02889641266478
397,41,109.48329210667917
398,27,68.51338166529715
399,18,34.15142950054603
400,13,18.86658709148329
401,11,10.615240965293749
402,12,14.02881549618683
403,12,15.339859596075389
404,12,19.717713980174377
405,12,15.940967446901698
406,14,10.748882621760048
407,19,23.650287177891414
408,62,89.21204743946308
409,219,236.3039033305966
410,384,403.2094702480041
411,451,503.82185777344466
412,495,547.8235450859909
413,518,568.8871062610023
414,534,561.8834487929475
415,510,525.0409949282061
416,428,463.21235526352797
417,317,346.03124635254414
418,235,248.20914416262258
419,153,177.83046795847056
420,95,136.35591802831698
421,54,89.7874110012652
422,28,52.61644380831617
423,18,31.017038033220356
424,10,30.349487892830084
425,8,29.879665694639566
426,8,31.98207404894844
427,7,28.332688249931202
428,6,30.901350340854794
429,6,29.692200079179653
430,7,26.710664006914865
431,11,36.66367857866235
432,56,94.58424840485993
433,203,234.3249586773202
434,381,398.44648253482785
435,462,500.98770313860524
436,487,549.4314556696786
437,485,576.7935297950652
438,527,579.4050459530185
439,521,555.4407498994407
440,441,505.19803840244117
441,313,391.5922638027021
442,237,286.61276490390526
443,171,203.0562637352341
444,102,150.96578332677825
445,59,101.34523273444506
446,28,66.22127441320994
447,14,45.29082610003937
448,11,40.310302410558144
449,9,32.9473590351528
450,9,30.68167751412799
451,9,27.526433483164624
452,10,33.304925033172516
453,10,34.402584191250654
454,11,31.11254666396206
455,19,38.17464180774738
456,51,89.89042646178814
457,188,217.96676550371478
458,330,363.9236650565963
459,505,443.97179710518265
460,578,469.0109144232666
461,576,472.5656367561148
462,543,448.3525374226547
463,401,395.068640106051
464,301,323.2957644406939
465,196,213.4210603200832
466,136,148.59008162227684
