,Actual,Predicted
0,15,9.507738321839136
1,28,30.974309394511494
2,80,49.80232671356563
3,90,60.27250363968291
4,76,67.81084494191967
5,80,73.58371300554914
6,89,85.58015746724838
7,96,105.81007729017206
8,92,111.88705673666215
9,84,97.06540956622919
10,46,84.4278400970189
11,34,81.91873723904278
12,31,81.08611226100165
13,26,82.22803787829618
14,28,82.84061650209554
15,34,76.57004873503688
16,39,75.09551773846641
17,42,52.55583576235528
18,41,20.448024510301988
19,3,0.0
20,4,0.0
21,2,0.0
22,16,0.0
23,97,78.56462324980244
24,238,234.68627116090394
25,411,425.6995088177051
26,538,587.0777274969937
27,603,682.6506454823755
28,638,728.4478667764768
29,654,750.2402002536227
30,668,747.8933783963422
31,648,692.7927245676179
32,520,561.5604544165984
33,358,397.6003904919653
34,247,277.29181086660225
35,170,204.7654652435812
36,111,139.3008416487541
37,84,82.86037769172322
38,37,48.47985079539228
39,11,25.30959094477641
40,3,10.45658745803161
41,2,1.2254727578861793
42,4,0.0
43,4,0.0
44,2,0.0
45,2,0.0
46,25,9.612927813535235
47,102,101.07642833748909
48,246,263.4456784845977
49,425,461.5774830984518
50,578,631.2471792630599
51,700,735.7644124057587
52,730,790.0033155053952
53,718,818.3112105150977
54,747,819.2894125985242
55,722,763.5794237125532
56,595,627.7809383703047
57,454,455.99434299618554
58,338,325.8271025833976
59,261,242.8640044456366
60,127,167.73319829116187
61,65,103.37393313132357
62,25,63.28755234387852
63,0,36.585945752838526
64,0,19.963249929706834
65,0,10.132610741045335
66,0,0.0
67,4,0.0
68,5,0.0
69,2,0.0
70,22,18.601878754675862
71,101,109.72882412563773
72,261,271.447449406204
73,466,468.3889130233307
74,648,636.0856028468572
75,717,737.6976074166331
76,745,788.1498839016311
77,753,812.1006112029369
78,746,808.7052894297983
79,709,749.3058994403746
80,600,611.1945836012758
81,426,438.9874920825733
82,294,310.4973470405076
83,210,231.1442417469377
84,138,161.05387431621847
85,79,102.4386854518768
86,49,68.0089415881416
87,28,46.18072772552832
88,22,33.16205907420833
89,17,25.431270017782698
90,17,10.984982870000687
91,14,0.0
92,13,0.0
93,13,0.0
94,28,24.049848244858747
95,116,109.88305416266573
96,217,265.4817925189405
97,403,455.8387513228638
98,560,617.0831279165425
99,677,713.1708064241271
100,685,759.8942219253739
101,666,782.6553802091523
102,708,781.0176796108784
103,696,726.2310551648135
104,525,594.93926166503
105,362,430.63853147851273
106,231,309.7705191128634
107,161,236.44187311597722
108,98,169.84127871249973
109,63,111.86058469277677
110,45,75.59307465208134
111,16,50.43947302586135
112,7,33.91732204568162
113,5,23.75240072600898
114,6,8.729012067003339
115,9,0.0
116,11,0.0
117,12,0.0
118,22,26.46269669262723
119,83,106.97354392637406
120,173,251.31329733263286
121,320,424.06612056932136
122,455,562.1711025963074
123,529,631.5920170974579
124,567,651.0560706982031
125,574,649.3612659605072
126,532,629.3648452711053
127,477,564.9597631311929
128,339,434.3489821095115
129,210,281.2546887580495
130,132,180.96918242858152
131,95,135.22136532260504
132,73,99.88147897123855
133,55,72.95087035859233
134,36,63.45588733556114
135,3,56.93967932433783
136,3,39.45218476545
137,8,38.040867194755506
138,9,33.63960781860071
139,2,28.917978042433916
140,5,25.07841096967454
141,2,22.9787909051935
142,1,23.403559904650432
143,2,28.09952218602916
144,13,46.22001742000495
145,43,78.3768066663324
146,46,107.51879955379708
147,48,125.29508691911525
148,81,134.7426481605837
149,118,135.43660740113293
150,177,134.9731604886348
151,190,136.32602460341207
152,146,119.31108483462992
153,67,80.25127292304565
154,33,45.60858465018676
155,17,26.37989832150629
156,0,16.232150418209404
157,3,16.17699923782657
158,3,22.763000925861498
159,5,27.036015910101526
160,1,28.527715451953313
161,4,28.287483246540848
162,14,26.24944783233527
163,14,24.85127187215504
164,11,24.13591666395656
165,13,23.395209499735383
166,12,22.044387490281604
167,8,21.18472823132253
168,14,30.365422165680016
169,30,51.668527941232924
170,40,70.33268381751263
171,50,80.63860869463836
172,36,88.01231287936155
173,48,93.62016429702615
174,47,105.4512181385411
175,40,125.5153789163183
176,36,131.4262364500076
177,22,116.43811006597318
178,8,103.63370963878857
179,6,100.95742965162086
180,8,99.95728694645157
181,23,100.93135980898961
182,19,101.37575623513918
183,21,94.93668240032639
184,27,93.29332706068699
185,23,70.58450803862227
186,22,38.30725263586569
187,1,7.43060634415999
188,1,0.0
189,3,0.0
190,15,10.705313954895818
191,80,95.57221974208333
192,206,251.5226983224831
193,376,442.3644987040466
194,481,603.5710177677512
195,562,698.9719794050455
196,611,744.5969932076779
