,Actual,Predicted
0,17,30.541642241942817
1,26,36.73041969371363
2,31,44.55229901656831
3,33,51.20447992220479
4,39,55.03086211925821
5,46,56.39156237992388
6,46,56.34320532322437
7,40,55.154133487381266
8,39,52.537085776623606
9,45,48.838621297650924
10,33,45.16009035439587
11,32,42.181606694113164
12,20,39.497116118991734
13,14,36.509186414641704
14,13,33.57854034381315
15,11,31.71903231272661
16,11,30.41067178480885
17,10,31.10757120175907
18,10,30.984719315491056
19,10,30.24676406783689
20,0,29.540950666387854
21,0,28.75087206955178
22,1,27.474384950074363
23,4,26.237575028872662
24,8,26.43998748633439
25,15,28.94720925821857
26,31,33.1607976377052
27,39,37.611864985564864
28,45,41.06101082573353
29,49,42.81699596087101
30,53,42.55878011782748
31,43,40.60066768121616
32,30,38.24668713520803
33,47,37.009365903226495
34,67,36.92817412998259
35,67,36.074883671805594
36,26,32.426193764783555
37,32,26.254662080791267
38,15,20.132267885268888
39,7,16.38310824752837
40,4,14.972274849398863
41,3,14.199153943768497
42,3,12.99940239483215
43,3,11.892673434461898
44,3,11.786226162849887
45,3,12.71610603827354
46,3,14.284609609077759
47,6,16.855707131122692
48,15,21.51025449981208
49,21,28.6784019613284
50,65,37.27414067355895
51,97,45.367285982471614
52,108,51.36060670571627
53,129,54.36873333860964
54,141,54.07058223153555
55,120,50.96822656990425
56,90,46.69945891119208
57,59,43.18823252096016
58,64,40.88319797478503
59,67,38.188941016306615
60,44,33.28590814639987
61,31,26.500248766971296
62,17,20.32031314348697
63,14,16.890600461488155
64,8,15.958100048953314
65,8,15.624069319493415
66,8,14.69119163110774
67,7,13.633360349655316
68,7,13.395136750669838
69,7,14.10658960603435
70,8,15.481805957946392
71,12,17.974912966485917
72,22,22.70669504369858
73,39,30.086505285572084
74,57,38.95597676871011
75,82,47.285617131994975
76,88,53.383587155199244
77,97,56.3033836946494
78,89,55.713710486888594
79,74,52.15884140137065
80,49,47.357041767185656
81,42,43.32611688822027
82,58,40.59405217981871
83,65,37.60753417447563
84,50,32.5405515025704
85,30,25.66687773838915
86,15,19.391628195306676
87,25,15.767791216126625
88,22,14.466144440200546
89,15,13.545481144315392
90,8,11.80912321401559
91,7,9.77405372482832
92,7,8.461700575935838
93,7,8.099881712404642
94,7,8.508257082207932
95,10,10.24395996861203
96,15,14.521238938102984
97,23,21.82851140103741
98,48,31.066896208204124
99,78,40.23914414812829
100,77,47.64774853290377
101,75,52.29085967491092
102,78,53.72342706542357
103,84,52.317068283059804
104,63,49.57062146705194
105,67,47.262100664996915
106,97,45.6975916843625
107,96,43.163187428353986
108,53,37.77239240132792
109,32,29.86230218060301
110,18,22.0254526904187
111,6,16.5998096013338
112,8,13.588329925446448
113,7,11.364425693868192
114,6,8.963246137436219
115,5,7.000340762175025
116,5,6.439417110099294
117,5,7.305430811874764
118,5,9.114095211152923
119,8,12.085199110111489
120,12,17.13828746297675
121,24,24.576471922144307
122,35,33.26676522974527
123,54,41.33603221677909
124,62,47.339804086101005
125,51,50.59970082818535
126,60,50.990866220801315
127,49,49.13027594683881
128,43,46.63436924332643
129,57,45.24842132325527
130,83,45.10746629764308
131,85,44.23099050172832
132,44,40.43306811658084
133,25,33.786456729791034
134,16,26.712355838563855
135,13,21.50616796821804
136,7,19.112918025852263
137,7,15.83787239379153
138,5,12.839786891058845
139,5,10.636382944752246
140,5,10.072240744629207
141,5,11.429420299465894
142,5,14.633049278647045
143,6,20.19504853734501
144,11,29.088348985823675
145,16,41.15100464694151
146,31,54.012899694656724
147,45,64.30148984054382
148,65,70.03714345064247
149,70,71.54121713758904
150,79,70.0989601856125
151,90,66.40817014497217
152,85,60.71313674400483
153,58,53.886088702642
154,42,47.454332708789174
155,28,42.36301323775986
156,21,38.291224322151436
157,11,34.56930082472897
158,7,31.382086719913215
159,25,29.532439020727733
160,29,29.168203179432137
161,34,29.36343469061228
162,28,29.130290518682735
163,28,28.36157681838193
164,6,27.469065107912748
165,6,26.578683651958556
166,6,25.771899015235558
167,6,26.007794241405513
168,8,28.921245014630305
169,11,35.1110950379946
170,21,42.934050082515746
171,30,49.58730979635503
172,42,53.41477382489016
173,68,54.77655887671256
174,68,54.72928950732069
175,62,53.541308191679384
176,54,50.92535377041587
177,56,47.22798528695594
178,47,43.550552981501646
179,34,40.57317053773183
180,22,37.88978369515554
181,16,34.902960175017846
182,15,31.97342267719325
183,11,30.11502554427762
184,15,28.807778176387867
185,9,29.505792951850516
186,8,29.384058559059802
187,7,28.647222876378997
188,0,27.942531048374494
189,0,27.15357596976839
190,0,25.878214250559783
191,5,24.642531547370442
192,12,24.846072978386115
193,32,27.35442541509032
194,38,31.56914608799353
195,50,36.02134729470193
196,54,39.47162849559198
197,63,41.22875043043203
198,59,40.97167276236606
199,50,39.014699813539636
200,44,36.66186000474419
201,30,35.425680696204914
202,33,35.345631969379994
203,26,34.49348561824918
204,18,30.845940815322386
205,11,24.675555169521246
206,0,18.55430788347108
207,1,14.806295963787397
208,0,13.3966110288479
209,0,12.62463926925351
210,2,11.426037486144565
211,2,10.320458848628242
212,2,10.215162393982752
213,1,11.146193518024056
214,2,12.715848706589938
215,7,15.288098152484373
216,12,19.94379768885429
217,23,27.113097498792985
218,43,35.70998867884032
219,54,43.80428651169692
220,53,49.79875975237362
221,66,52.808038834563476
222,66,52.511040045391866
223,73,49.409836508758275
224,66,45.14222071976714
225,51,41.63214588174959
226,65,39.328262508016046
227,62,36.63515628039093
228,43,31.733273637623235
229,27,24.94876391957908
230,10,18.769977329907817
231,9,15.341412992307221
232,5,14.410060172791848
233,3,14.077176223340114
234,2,13.145444440521409
235,2,12.088758128011346
236,2,11.851678500320498
237,2,12.564274267307582
238,4,13.94063241028999
239,9,16.434880027579528
240,14,21.1678014700437
241,47,28.54874977256014
242,72,37.41935795001316
243,79,45.750133580511154
244,81,51.849237383028964
245,87,54.77016615279998
246,97,54.18162356501098
247,92,50.627883428405156
248,82,45.827211011578854
249,73,41.79741155805202
250,53,39.06647042164721
251,49,36.081074074755655
252,41,31.015211087431933
253,35,24.14265497317939
254,23,17.86852098524459
255,20,14.2457974062653
256,18,12.945261815315874
257,18,12.02570742918441
258,11,10.29045607318069
259,6,8.256490762761143
260,6,6.945239337918898
261,6,6.584519683386081
262,7,6.993991687630743
263,9,8.73078857411494
264,19,13.009158850399233
265,29,20.317519866856905
266,53,29.556990414872974
267,54,38.73032122405429
268,58,46.140005547325536
269,63,50.78419363761849
270,79,52.21783492774008
271,76,50.812546937000384
272,51,48.067167746068016
273,53,45.75971134389347
274,50,44.19626347878002
275,48,41.6629169959135
276,48,36.27317634160956
277,38,28.36413703388488
278,24,20.52833493981942
279,9,15.103735670813988
280,6,12.093296181758099
281,6,9.870428445378222
282,5,7.470281635017117
283,6,5.508405198264352
284,6,4.948506620579049
285,6,5.815541474546806
286,7,7.625223046410512
287,10,10.597340080907271
288,12,15.651437475521218
289,30,23.090626825410222
290,47,31.781920814610555
291,63,39.85218421958251
292,74,45.85694818489312
293,86,49.11783264444672
294,107,49.50998131948478
295,134,47.65036983667137
296,150,45.155437376685
297,140,43.77045909644834
298,189,43.63046905081861
299,180,42.754953518731156
300,182,38.95798662610173
301,115,32.31232590411602
302,82,25.239170795001066
303,60,20.033923767855196
304,25,17.641609675249804
305,18,14.367494843906982
306,15,11.370335037573431
307,13,9.167851628440259
308,13,8.604624751394555
309,13,9.96271436053945
310,13,13.167248070597985
311,14,18.73014668215399
312,19,27.624341051263585
313,19,39.68788514675788
314,30,52.55066308768884
315,52,62.84013053224593
316,56,68.57665579318653
317,76,70.08159542845118
318,111,68.6401986690016
319,132,64.9502630118617
320,142,59.256078131553245
321,154,52.42987269528423
322,168,45.99895333790164
323,179,40.90846448163605
324,173,36.83750010628113
325,163,33.11639502218809
326,142,29.929993151174607
327,28,28.08115145379685
328,15,27.717715330347133
329,14,27.913740223223794
330,13,27.68138304471764
331,13,26.913449897914425
332,13,26.021712249470845
333,13,25.132098312617792
334,14,24.32607460042697
335,14,24.56272410579278
336,14,27.476922461363998
337,17,33.6675133196824
338,24,41.49120240051002
339,38,48.14518930186872
340,57,51.97337361862604
341,71,53.335872008768945
342,123,53.28930897807943
343,158,52.10202695093437
344,200,49.48676471857041
345,204,45.79008127466289
346,193,42.11332680966603
347,197,39.13661495793094
348,59,36.45389140988317
349,33,33.46772383766602
350,25,30.538834891765855
351,18,28.68107886670102
352,15,27.374465113469782
353,12,28.073105962396312
354,13,27.951990053217404
355,13,27.21576521638313
356,0,26.511676548301107
357,0,25.72331689623858
358,3,24.448542821935035
359,7,23.213439935599535
360,7,23.417553306601704
361,23,25.926469760896783
362,36,30.14174648119989
363,41,34.59449571811382
364,45,38.045316885901634
365,59,39.80297067740689
366,48,39.546416709965044
367,42,37.58995925922369
368,42,35.23762670010884
369,30,34.00194634683301
370,32,33.922388235966686
371,36,33.07072411516646
372,26,29.423653112256122
373,18,23.253732790986415
374,16,17.132942308840803
375,6,13.38537862777934
376,5,11.97613332190605
377,5,11.20459253700304
378,5,10.006413030283166
379,5,8.901247926561142
380,5,8.796356219620288
381,5,9.727783261309455
382,6,11.29782549413826
383,9,13.87045306756148
384,14,18.526521771328596
385,28,25.696181746539985
386,47,34.29342404599447
387,48,42.3880639095586
388,53,48.38287005075651
389,66,51.392472860984476
390,66,51.095788585194164
391,60,47.99489030487826
392,48,43.727570474360824
393,42,40.21778225475339
394,44,37.91417611868668
395,36,35.221337706615586
396,30,30.319713416279868
397,14,23.53545254718422
398,5,17.356905262214184
399,1,13.928570644952918
400,1,12.99743792126457
401,1,12.664764403051656
402,2,11.733233346923418
403,2,10.676738017703384
404,1,10.439839590078398
405,1,11.152606734641948
406,2,12.529126394059617
407,6,15.023525627648585
408,12,19.756588747925985
409,22,27.137668751032088
410,32,36.00839861443024
411,36,44.33928587730118
412,45,50.43849122169155
413,75,53.359511404687545
414,93,52.77105006446067
415,94,49.21738097229971
416,67,44.416769360247486
417,50,40.38702043455465
418,48,37.65611951292127
419,64,34.670753030979995
420,62,29.604909522995552
421,46,22.732362466896102
422,23,16.45822707881426
423,18,12.83549160711476
424,18,11.534933595254357
425,15,10.615346224712285
426,8,8.880051285759066
427,5,6.84603175993736
